populacao_local_id,localidade_id,populacao_id,populacao_total,populacao_portuguesa,populacao_estrangeira,apatridas
193,193,1,6205,6114,91,0
194,194,1,6583,6491,92,0
195,195,1,46455,45318,1136,1
196,196,1,5148,5066,82,0
197,197,1,4403,4342,61,0
198,198,1,26503,25640,863,0
199,199,1,12222,12018,204,0
200,200,1,40117,39164,953,0
201,201,1,2909,2872,37,0
202,202,1,4630,4555,75,0
203,203,1,8092,7988,104,0
204,204,1,11280,11086,194,0
205,205,1,21755,21396,359,0
206,206,1,8413,8277,136,0
207,208,1,2870208,2615869,254280,59
208,208,1,2870208,2615869,254280,59
209,209,1,19143,17981,1162,0
210,210,1,177238,162314,14922,2
211,211,1,171454,152250,19198,6
212,212,1,78345,72123,6221,1
213,213,1,214124,190620,23499,5
214,214,1,545796,490463,55324,9
215,215,1,201590,184404,17179,7
216,216,1,86515,80737,5777,1
217,217,1,66255,61228,5027,0
218,218,1,55682,50100,5581,1
219,219,1,148034,133743,14284,7
220,220,1,171658,159877,11780,1
221,221,1,68852,65081,3767,4
222,222,1,166507,154051,12455,1
223,223,1,52384,49775,2609,0
224,224,1,123496,114955,8540,1
225,225,1,385606,347392,38207,7
226,226,1,137529,128775,8748,6
227,227,1,704533,671501,33025,7
228,228,1,96442,84863,11574,5
229,229,1,11112,10760,352,0
230,230,1,13822,13017,805,0
231,231,1,29538,21218,8319,1
232,232,1,27772,26558,1210,4
233,233,1,14198,13310,888,0
234,234,1,114863,110558,4305,0
235,235,1,8874,8621,253,0
236,236,1,6712,6520,192,0
237,237,1,2280,2213,67,0
238,238,1,1438,1423,15,0
239,239,1,33394,31889,1505,0
240,240,1,6873,6723,150,0
241,241,1,4373,4177,196,0
242,242,1,7684,6948,736,0
243,243,1,6206,6073,133,0
244,244,1,13258,13071,187,0
245,245,1,4839,4588,251,0
246,246,1,13757,13286,471,0
247,247,1,5175,5026,149,0
248,248,1,235861,224970,10890,1
249,249,1,22012,21155,857,0
250,250,1,6975,6741,234,0
251,251,1,21421,20128,1292,1
252,252,1,29709,27652,2057,0
253,253,1,23186,22191,995,0
254,254,1,8530,8370,160,0
255,255,1,17355,16972,383,0
256,256,1,5400,5287,113,0
257,257,1,21004,19519,1485,0
258,258,1,21607,21003,604,0
259,259,1,58662,55952,2710,0
260,260,1,104923,102691,2231,1
261,261,1,3044,2952,92,0
262,262,1,2789,2730,59,0
263,263,1,3812,3727,85,0
264,264,1,8042,7844,198,0
265,265,1,3116,3010,106,0
266,266,1,3225,3174,51,0
267,267,1,20730,20257,472,1
268,268,1,2858,2815,43,0
269,269,1,3394,3354,40,0
270,270,1,3021,2874,147,0
271,271,1,2992,2961,31,0
272,272,1,5952,5853,99,0
273,273,1,15248,14950,298,0
274,274,1,22340,21927,413,0
275,275,1,4360,4263,97,0
276,276,1,152444,148419,4025,0
277,277,1,5014,4913,101,0
278,278,1,6606,6477,129,0
279,279,1,6428,6321,107,0
280,280,1,12680,12395,285,0
281,281,1,53577,51869,1708,0
282,282,1,15799,15343,456,0
283,283,1,4135,4064,71,0
284,284,1,2351,2325,26,0
285,285,1,5747,5581,166,0
286,286,1,6286,6126,160,0
287,287,1,9871,9650,221,0
288,288,1,11245,10907,338,0
289,289,1,5318,5195,123,0
290,290,1,7387,7253,134,0
291,292,1,467343,399398,67921,24
292,292,1,467343,399398,67921,24
293,293,1,44164,35310,8848,6
294,294,1,2523,2391,132,0
295,295,1,6045,4494,1551,0
296,296,1,6439,5867,572,0
297,297,1,67622,61001,6620,1
298,316,1,23725,20221,3502,2
299,299,1,33494,25777,7715,2
300,300,1,72332,60808,11521,3
301,301,1,5462,4745,717,0
302,302,1,44614,40628,3984,2
303,303,1,59845,51426,8416,3
304,304,1,11248,9905,1343,0
305,305,1,37766,32672,5093,1
306,306,1,27523,22804,4715,4
307,307,1,5717,4239,1478,0
308,308,1,18824,17110,1714,0
309,311,1,236413,233065,3346,2
310,311,1,236413,233065,3346,2
311,311,1,236413,233065,3346,2
312,312,1,33771,33325,446,0
313,334,1,3437,3389,48,0
314,314,1,384,373,11,0
315,315,1,14331,13876,455,0
316,316,1,14189,14039,150,0
317,317,1,1408,1333,74,1
318,318,1,4340,4224,116,0
319,319,1,6319,6157,162,0
320,320,1,4368,4281,87,0
321,321,1,67229,66473,755,1
322,322,1,5791,5690,101,0
323,323,1,31388,31130,258,0
324,324,1,4090,4047,43,0
325,325,1,2020,1982,38,0
326,326,1,3220,3126,94,0
327,327,1,4936,4837,99,0
328,328,1,19463,19256,207,0
329,329,1,5406,5277,129,0
330,330,1,10323,10250,73,0
331,333,1,250744,243711,7029,4
