"População empregada,  por setor de atividade económica, NUTS II, 2021",,,,,,,
,,,,,,,
,,,,,,,Número
NUTS II,Total,Atividade económica,,,,,
,,"Agricultura 
(Secção A)","Indústria 
(Secção B-E)","Construção
(Secção F)","Comércio 
(Secção G-J)","Atividades financeiras e imobiliárias
(Secção K-L)","Outras atividades de serviços 
(Secção M-U)"
,,,,,,,
Portugal ,4 426 461, 130 145, 754 360, 342 138,1 292 463, 143 576,1 763 779
Norte,1 546 569, 37 080, 380 646, 138 007, 417 611, 36 520, 536 705
Centro, 936 569, 33 247, 199 149, 75 136, 254 801, 20 196, 354 040
AM  Lisboa,1 256 872, 10 016, 108 887, 76 136, 413 887, 70 380, 577 566
Alentejo, 292 269, 32 784, 40 397, 18 395, 77 089, 6 117, 117 487
Algarve, 188 144, 6 750, 10 588, 17 632, 69 206, 6 623, 77 345
RA Açores, 105 396, 7 419, 8 513, 8 386, 27 301, 1 626, 52 151
RA Madeira, 100 642, 2 849, 6 180, 8 446, 32 568, 2 114, 48 485
,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,
