"Edifícios, por tipo de necessidade de reparação, NUTS II, 2021",,,,,,,
,,,,,,,
,,,,,,Número,
NUTS II,Total ,Com necessidade de reparação,,,,Sem necessidade de reparação,
,,Total,Ligeiras,Médias,Profundas,,
Portugal ,3 573 416,1 278 826, 780 126, 335 599, 163 101,2 294 590,
Norte,1 227 994, 456 362, 275 888, 120 916, 59 558, 771 632,
Centro,1 116 787, 418 166, 243 728, 115 879, 58 559, 698 621,
AM  Lisboa, 452 582, 154 299, 104 155, 36 268, 13 876, 298 283,
Alentejo, 383 527, 117 266, 70 316, 30 963, 15 987, 266 261,
Algarve, 201 078, 58 878, 38 007, 13 740, 7 131, 142 200,
RA Açores, 100 478, 34 726, 24 293, 7 512, 2 921, 65 752,
RA Madeira, 90 970, 39 129, 23 739, 10 321, 5 069, 51 841,
,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,
