" Alojamentos familiares clássicos de residência habitual, por área útil, NUTS II, 2021",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,Número,
NUT SII,Área útil (m2),,,,,,,,,,,
,Total,Menos de 30,30 - 39 , 40 -49 , 50 - 59 ,60 - 79 , 80 -99,100 - 119,120 -149,150 - 199,200 ou mais,
Portugal ,4 142 581, 63 269, 122 829, 175 651, 250 364, 595 976, 812 997, 740 779, 602 442, 420 263, 358 011,
Norte,1 379 430, 18 837, 36 315, 51 223, 71 071, 157 057, 255 582, 267 227, 223 783, 155 499, 142 836,
Centro, 907 883, 11 100, 21 725, 31 510, 44 420, 100 885, 154 589, 167 181, 153 756, 118 292, 104 425,
AM  Lisboa,1 191 363, 21 465, 43 712, 64 377, 94 763, 246 904, 270 740, 186 891, 131 151, 78 512, 52 848,
Alentejo, 290 644, 4 544, 8 595, 11 874, 16 709, 38 013, 56 063, 53 137, 43 697, 32 083, 25 929,
Algarve, 193 395, 3 330, 5 813, 8 053, 12 276, 30 075, 43 711, 35 251, 25 655, 16 235, 12 996,
RA Açores, 85 074, 1 673, 2 869, 3 711, 4 839, 10 219, 13 762, 14 253, 12 397, 10 693, 10 658,
RA Madeira, 94 792, 2 320, 3 800, 4 903, 6 286, 12 823, 18 550, 16 839, 12 003, 8 949, 8 319,
,,,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,,,
,,,,,,,,,,,,
