"Número de municipios, população residente e área do território, 2021",,,,,,
,,,,Número ,,
Nº  Municípios,População ,Área (km2),População (%),Área (%),,
7,2 076 064, 1 077,20.1  ,  1,,
14,2 140 668, 2 400,20.7  ,  3,,
26,2 019 142, 6 715,19.5  ,  7,,
53,2 056 426, 21 407,19.9  ,  23,,
208,2 050 766, 60 626,19.8  ,  66,,
Total ,10 343 066, 92 225,  100,  100,,
,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,
