"População empregada, por grupo etário e sexo, 2021",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Número
Sexo ,Total,Grupo etário ,,,,,,,,,,
,,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 e +
HM,4 426 461, 21 681, 242 572, 408 906, 452 503, 527 573, 621 058, 640 698, 567 017, 497 412, 315 364, 131 677
H,2 256 526, 13 483, 132 155, 208 938, 231 537, 266 022, 309 638, 319 740, 285 768, 251 914, 158 501, 78 830
M,2 169 935, 8 198, 110 417, 199 968, 220 966, 261 551, 311 420, 320 958, 281 249, 245 498, 156 863, 52 847
,,,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,,,
