"População residente que vive em união de facto, por sexo e grupo etário, NUTS II, 2021",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,Número,
NUTS II,Total ,,,Grupo etário (anos),,,,,,
,HM,H,M,Menos de 20 ,20-29,30-39,40-49,50-59,60 ou mais ,
Portugal ,1 008 604, 505 195, 503 409, 3 011, 157 958, 328 991, 271 110, 142 199, 105 335,
Norte, 278 122, 139 264, 138 858,  759, 48 596, 96 829, 69 029, 36 537, 26 372,
Centro, 202 194, 101 082, 101 112,  672, 33 645, 66 550, 52 304, 27 730, 21 293,
AM  Lisboa, 343 836, 172 604, 171 232,  737, 48 136, 107 895, 100 042, 50 338, 36 688,
Alentejo, 79 668, 39 802, 39 866,  436, 11 604, 25 398, 21 627, 11 530, 9 073,
Algarve, 62 594, 31 307, 31 287,  190, 8 169, 18 170, 17 496, 10 275, 8 294,
RA Açores, 21 606, 10 816, 10 790,  178, 4 900, 7 503, 5 138, 2 473, 1 414,
RA Madeira, 20 584, 10 320, 10 264,  39, 2 908, 6 646, 5 474, 3 316, 2 201,
,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,
