"Núcleos familiares de casais, por tipo de núcleo, NUTS II, 2021 ",,,,,,,,,
,,,,,,,,,
,,,,,,,,,Número
NUTS II,Total,Casal de direito ,,,,Casal de facto ,,,
,,Total ,Sem filhos ,Com pelo menos um filho com menos de 25 anos,Com filhos tendo o mais novo 25 ou mais anos,Total ,Sem filhos ,Com pelo menos um filho com menos de 25 anos,Com filhos tendo o mais novo 25 ou mais anos
Portugal ,2 547 743,2 043 441, 931 281, 844 605, 267 555, 504 302, 200 645, 287 437, 16 220
Norte, 921 508, 782 447, 329 917, 339 372, 113 158, 139 061, 56 524, 77 910, 4 627
Centro, 575 642, 474 545, 233 957, 180 952, 59 636, 101 097, 41 085, 57 158, 2 854
AM  Lisboa, 648 979, 477 061, 221 455, 200 858, 54 748, 171 918, 68 122, 98 210, 5 586
Alentejo, 175 334, 135 500, 70 217, 48 364, 16 919, 39 834, 14 306, 24 242, 1 286
Algarve, 112 552, 81 255, 41 894, 29 859, 9 502, 31 297, 12 200, 17 943, 1 154
RA Açores, 57 338, 46 535, 16 919, 23 404, 6 212, 10 803, 4 460, 6 046,  297
RA Madeira, 56 390, 46 098, 16 922, 21 796, 7 380, 10 292, 3 948, 5 928,  416
,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
