"População residente de nacionalidade portuguesa que já residiu no estrangeiro, total por sexo e principais países de proveniência, NUTS II, 2021",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,Número
NUTS II,Total,,,Principais países de proveniência*,,,,,,,
,HM,H,M,França,Angola,Suiça,Brasil ,Moçambique,Alemanha,Reino Unido,Venezuela 
Portugal ,1 608 094, 806 163, 801 931, 372 704, 224 597, 130 677, 115 462, 104 722, 100 812, 77 659, 73 096
Norte, 531 720, 279 224, 252 496, 178 107, 57 513, 59 805, 33 867, 24 527, 34 591, 16 669, 23 360
Centro, 408 119, 206 190, 201 929, 123 610, 47 493, 42 648, 20 308, 22 591, 33 859, 12 572, 19 581
AM  Lisboa, 447 223, 209 213, 238 010, 38 331, 94 481, 14 200, 49 490, 45 710, 18 646, 29 533, 5 669
Alentejo, 70 839, 37 015, 33 824, 12 252, 10 596, 9 270, 3 900, 5 563, 6 538, 4 108,  615
Algarve, 77 790, 37 917, 39 873, 16 479, 10 795, 3 818, 5 604, 4 355, 6 470, 4 838, 2 036
RA Açores, 20 692, 11 064, 9 628,  695, 1 680,  140, 1 092,  746,  251,  497,  121
RA Madeira, 51 711, 25 540, 26 171, 3 230, 2 039,  796, 1 201, 1 230,  457, 9 442, 21 714
,,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,,
* Países de proveniência com mais de 70 000 ocorrências ,,,,,,,,,,,
