"Alojamentos, por tipo de alojamento, NUTS II, 2021",,,,,,
,,,,,Número,
NUTS II,Total ,Tipo de alojamento,,,,
,,Familiar,,,Coletivo,
,,Total ,Clássico,Não clássico,,
Portugal ,5 981 482,5 974 719,5 970 677, 4 042, 6 763,
Norte,1 897 484,1 895 658,1 894 933,  725, 1 826,
Centro,1 473 384,1 471 390,1 470 422,  968, 1 994,
AM  Lisboa,1 499 047,1 497 673,1 496 902,  771, 1 374,
Alentejo, 474 529, 473 666, 472 808,  858,  863,
Algarve, 392 315, 392 047, 391 416,  631,  268,
RA Açores, 113 536, 113 220, 113 159,  61,  316,
RA Madeira, 131 187, 131 065, 131 037,  28,  122,
,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,
