"Quadro 1.2 - População residente por nacionalidade, por local de residência (NUTS I/II/III/Município), Portugal, 2021",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"NUTS I, II, III
Município",População residente ,,,,15 Principais nacionalidades estrangeiras ,,,,,,,,,,,,,,
,Total ,Nacionalidade portuguesa ,Nacionalidade estrangeira,Apátrida ,Brasil,Angola,Cabo Verde,Reino Unido,Ucrânia,França,China,Guiné-Bissau,Índia,Roménia,Itália,Nepal,Espanha,Alemanha,São Tomé e Príncipe
Médio Tejo, 228 581, 220 981, 7 597,  3, 2 680,  549,  142,  619,  671,  294,  269,  79,  217,  207,  157,  27,  117,  163,  76
Abrantes, 34 329, 33 758,  571,  ,  193,  40,  14,  41,  44,  28,  21,  8,  12,  39,  10,  ,  7,  7,  
Alcanena, 12 472, 12 047,  425,  ,  145,  20,  14,  20,  70,  18,  11,  2,  1,  10,  3,  ,  10,  4,  
Constância, 3 798, 3 741,  57,  ,  18,  3,  2,  12,  4,  ,  4,  ,  1,  4,  ,  ,  ,  2,  
Entroncamento, 20 141, 18 986, 1 155,  ,  538,  210,  50,  8,  70,  17,  65,  24,  39,  15,  10,  1,  14,  15,  16
Ferreira do Zêzere, 7 800, 7 473,  327,  ,  45,  12,  ,  99,  14,  16,  8,  ,  23,  5,  6,  ,  6,  13,  5
Mação, 6 402, 6 214,  188,  ,  71,  7,  ,  26,  2,  8,  10,  ,  ,  24,  1,  ,  2,  5,  
Ourém, 44 538, 42 194, 2 343,  1,  939,  120,  30,  53,  351,  84,  47,  26,  100,  35,  73,  2,  36,  17,  3
Sardoal, 3 513, 3 405,  108,  ,  22,  ,  1,  3,  3,  1,  3,  ,  ,  2,  4,  ,  7,  1,  
Sertã, 14 769, 14 256,  512,  1,  113,  40,  2,  127,  13,  15,  9,  1,  8,  9,  3,  4,  3,  42,  24
Tomar, 36 413, 35 401, 1 012,  ,  249,  68,  21,  164,  56,  59,  53,  9,  20,  21,  32,  ,  13,  26,  7
Torres Novas, 34 111, 33 416,  695,  ,  274,  26,  6,  51,  41,  34,  29,  6,  12,  39,  12,  20,  15,  22,  4
Vila de Rei, 3 279, 3 185,  93,  1,  27,  1,  ,  8,  ,  6,  5,  2,  ,  ,  ,  ,  ,  6,  15
Vila Nova da Barquinha, 7 016, 6 905,  111,  ,  46,  2,  2,  7,  3,  8,  4,  1,  1,  4,  3,  ,  4,  3,  2
Beiras e Serra da Estrela, 210 602, 206 091, 4 510,  1, 1 375,  294,  118,  274,  126,  348,  147,  156,  104,  51,  49,  39,  205,  95,  181
Almeida, 5 887, 5 764,  123,  ,  41,  1,  1,  5,  4,  12,  6,  ,  ,  2,  ,  ,  22,  2,  
Belmonte, 6 205, 6 114,  91,  ,  27,  5,  1,  6,  1,  7,  12,  ,  2,  ,  3,  ,  2,  10,  3
Celorico da Beira, 6 583, 6 491,  92,  ,  24,  9,  ,  14,  2,  7,  3,  ,  ,  3,  1,  ,  2,  2,  
Covilhã, 46 455, 45 318, 1 136,  1,  538,  130,  28,  24,  26,  66,  22,  6,  39,  9,  10,  6,  43,  13,  5
Figueira de Castelo Rodrigo, 5 148, 5 066,  82,  ,  19,  2,  ,  3,  5,  8,  8,  ,  ,  4,  ,  ,  9,  3,  
Fornos de Algodres, 4 403, 4 342,  61,  ,  4,  3,  ,  13,  1,  8,  7,  ,  ,  1,  2,  ,  6,  1,  
Fundão, 26 503, 25 640,  863,  ,  239,  23,  6,  113,  15,  74,  18,  42,  32,  9,  5,  14,  24,  15,  19
Gouveia, 12 222, 12 018,  204,  ,  41,  11,  3,  24,  6,  17,  11,  3,  1,  1,  2,  ,  7,  18,  1
Guarda, 40 117, 39 164,  953,  ,  213,  50,  65,  18,  46,  50,  19,  102,  17,  11,  6,  14,  47,  4,  145
Manteigas, 2 909, 2 872,  37,  ,  5,  3,  2,  8,  1,  3,  ,  ,  4,  ,  1,  ,  ,  2,  3
Mêda, 4 630, 4 555,  75,  ,  13,  2,  ,  2,  ,  8,  12,  ,  3,  1,  1,  ,  4,  ,  1
Pinhel, 8 092, 7 988,  104,  ,  22,  15,  ,  6,  1,  15,  15,  ,  ,  3,  ,  2,  4,  3,  
Sabugal, 11 280, 11 086,  194,  ,  50,  18,  1,  6,  4,  34,  3,  ,  ,  4,  4,  ,  18,  3,  1
Seia, 21 755, 21 396,  359,  ,  120,  19,  7,  21,  9,  17,  7,  3,  5,  ,  12,  ,  13,  17,  3
Trancoso, 8 413, 8 277,  136,  ,  19,  3,  4,  11,  5,  22,  4,  ,  1,  3,  2,  3,  4,  2,  
Área Metropolitana de Lisboa,2 870 208,2 615 869, 254 280,  59, 92 321, 21 571, 21 887, 3 906, 7 138, 6 695, 8 014, 12 296, 5 124, 6 198, 6 387, 7 044, 5 641, 3 160, 8 094
Área Metropolitana de Lisboa,2 870 208,2 615 869, 254 280,  59, 92 321, 21 571, 21 887, 3 906, 7 138, 6 695, 8 014, 12 296, 5 124, 6 198, 6 387, 7 044, 5 641, 3 160, 8 094
Alcochete, 19 143, 17 981, 1 162,  ,  375,  77,  12,  22,  61,  57,  29,  11,  9,  173,  12,  25,  27,  12,  8
Almada, 177 238, 162 314, 14 922,  2, 6 506, 1 203, 1 502,  189,  290,  434,  418,  303,  122,  159,  451,  509,  210,  173,  560
Amadora, 171 454, 152 250, 19 198,  6, 6 238, 1 697, 4 013,  54,  498,  161,  432, 1 639,  477,  269,  159,  325,  203,  53,  802
Barreiro, 78 345, 72 123, 6 221,  1, 2 420,  814,  674,  55,  98,  55,  145,  448,  112,  56,  90,  125,  74,  29,  265
Cascais, 214 124, 190 620, 23 499,  5, 9 470,  651,  751, 1 184,  688,  888,  783,  575,  119,  403, 1 073,  341,  823,  685,  123
Lisboa, 545 796, 490 463, 55 324,  9, 16 527, 2 737, 1 826, 1 114, 1 087, 3 090, 2 831,  999, 1 147,  849, 2 717, 3 569, 2 266, 1 170,  710
Loures, 201 590, 184 404, 17 179,  7, 5 204, 2 084, 1 581,  115,  560,  173,  389, 1 273,  585,  444,  204,  302,  239,  85, 2 001
Mafra, 86 515, 80 737, 5 777,  1, 2 996,  227,  109,  157,  240,  143,  141,  65,  34,  231,  131,  117,  125,  145,  50
Moita, 66 255, 61 228, 5 027,  , 1 497,  849,  650,  24,  84,  42,  132,  672,  57,  86,  50,  30,  37,  17,  253
Montijo, 55 682, 50 100, 5 581,  1, 2 020,  465,  98,  32,  167,  68,  122,  55,  433,  700,  82,  398,  61,  38,  58
Odivelas, 148 034, 133 743, 14 284,  7, 4 969, 1 991,  719,  70,  718,  102,  337, 1 083,  822,  370,  121,  293,  137,  56,  533
Oeiras, 171 658, 159 877, 11 780,  1, 5 317,  578, 1 001,  175,  332,  316,  390,  200,  122,  217,  318,  165,  559,  171,  135
Palmela, 68 852, 65 081, 3 767,  4, 1 375,  286,  138,  87,  138,  161,  130,  78,  159,  271,  66,  161,  59,  37,  55
Seixal, 166 507, 154 051, 12 455,  1, 5 176, 1 345, 1 696,  90,  209,  225,  270,  395,  121,  159,  159,  120,  156,  66, 1 083
Sesimbra, 52 384, 49 775, 2 609,  , 1 224,  150,  112,  33,  75,  128,  84,  32,  26,  77,  80,  15,  46,  24,  19
Setúbal, 123 496, 114 955, 8 540,  1, 4 409,  717,  441,  117,  265,  230,  263,  101,  36,  330,  161,  91,  104,  89,  72
Sintra, 385 606, 347 392, 38 207,  7, 12 662, 4 907, 5 891,  345, 1 248,  335,  856, 3 977,  550, 1 044,  386,  361,  395,  258, 1 155
Vila Franca de Xira, 137 529, 128 775, 8 748,  6, 3 936,  793,  673,  43,  380,  87,  262,  390,  193,  360,  127,  97,  120,  52,  212
Alentejo, 704 533, 671 501, 33 025,  7, 8 885,  910,  564,  963, 1 840,  564, 1 290,  228, 3 560, 2 125,  324, 2 764,  766, 1 081,  86
Alentejo Litoral, 96 442, 84 863, 11 574,  5, 1 510,  98,  209,  285,  399,  156,  141,  15, 1 751,  385,  97, 2 559,  117,  723,  15
Alcácer do Sal, 11 112, 10 760,  352,  ,  96,  1,  3,  15,  14,  18,  11,  1,  27,  34,  1,  29,  12,  21,  1
Grândola, 13 822, 13 017,  805,  ,  343,  13,  45,  18,  12,  23,  28,  6,  5,  98,  9,  41,  11,  55,  3
Odemira, 29 538, 21 218, 8 319,  1,  321,  13,  20,  199,  279,  80,  41,  4, 1 611,  89,  62, 2 388,  42,  583,  
Santiago do Cacém, 27 772, 26 558, 1 210,  4,  323,  37,  38,  41,  63,  27,  26,  2,  96,  115,  13,  82,  30,  44,  7
Sines, 14 198, 13 310,  888,  ,  427,  34,  103,  12,  31,  8,  35,  2,  12,  49,  12,  19,  22,  20,  4
Baixo Alentejo, 114 863, 110 558, 4 305,  ,  727,  81,  78,  304,  266,  59,  142,  105,  480,  501,  32,  20,  128,  120,  4
Aljustrel, 8 874, 8 621,  253,  ,  63,  ,  2,  12,  23,  1,  13,  3,  53,  27,  1,  ,  6,  4,  
Almodôvar, 6 712, 6 520,  192,  ,  53,  7,  1,  17,  11,  5,  5,  ,  7,  15,  6,  1,  7,  11,  
Alvito, 2 280, 2 213,  67,  ,  19,  2,  12,  8,  5,  2,  ,  ,  ,  2,  ,  ,  2,  1,  1
Barrancos, 1 438, 1 423,  15,  ,  ,  ,  1,  ,  1,  ,  ,  ,  ,  ,  ,  ,  1,  3,  
Beja, 33 394, 31 889, 1 505,  ,  287,  38,  37,  35,  115,  18,  58,  74,  206,  106,  12,  5,  41,  34,  2
Castro Verde, 6 873, 6 723,  150,  ,  35,  7,  3,  19,  8,  1,  13,  ,  3,  10,  3,  ,  5,  4,  
Cuba, 4 373, 4 177,  196,  ,  20,  11,  2,  5,  21,  1,  5,  4,  12,  62,  ,  2,  ,  1,  
Ferreira do Alentejo, 7 684, 6 948,  736,  ,  56,  6,  3,  49,  8,  7,  5,  12,  100,  124,  ,  6,  10,  3,  1
Mértola, 6 206, 6 073,  133,  ,  30,  2,  1,  14,  10,  6,  ,  1,  8,  6,  1,  ,  5,  8,  
Moura, 13 258, 13 071,  187,  ,  53,  1,  4,  18,  14,  ,  13,  1,  3,  39,  3,  ,  18,  6,  
Ourique, 4 839, 4 588,  251,  ,  25,  3,  ,  103,  15,  4,  11,  ,  ,  8,  1,  5,  5,  32,  
Serpa, 13 757, 13 286,  471,  ,  72,  2,  2,  13,  16,  9,  15,  4,  81,  82,  5,  1,  23,  11,  
Vidigueira, 5 175, 5 026,  149,  ,  14,  2,  10,  11,  19,  5,  4,  6,  7,  20,  ,  ,  5,  2,  
Lezíria do Tejo, 235 861, 224 970, 10 890,  1, 4 446,  568,  130,  157,  857,  221,  628,  60, 1 170,  688,  87,  91,  128,  90,  41
Almeirim, 22 012, 21 155,  857,  ,  323,  49,  9,  14,  42,  15,  30,  4,  162,  90,  8,  2,  9,  7,  2
Alpiarça, 6 975, 6 741,  234,  ,  58,  6,  2,  3,  22,  8,  13,  ,  34,  34,  3,  ,  1,  4,  1
Azambuja, 21 421, 20 128, 1 292,  1,  640,  67,  44,  12,  110,  17,  23,  34,  79,  53,  11,  8,  20,  8,  10
Benavente, 29 709, 27 652, 2 057,  ,  868,  96,  15,  15,  192,  39,  312,  7,  39,  124,  19,  24,  24,  12,  6
Cartaxo, 23 186, 22 191,  995,  ,  463,  27,  11,  18,  76,  20,  38,  2,  28,  22,  9,  18,  14,  9,  1
Chamusca, 8 530, 8 370,  160,  ,  59,  5,  ,  2,  6,  10,  13,  ,  17,  16,  2,  ,  2,  1,  7
Coruche, 17 355, 16 972,  383,  ,  120,  25,  2,  10,  60,  11,  22,  ,  23,  20,  5,  3,  10,  10,  2
Golegã, 5 400, 5 287,  113,  ,  20,  2,  1,  3,  2,  2,  16,  1,  35,  6,  ,  ,  3,  3,  
Rio Maior, 21 004, 19 519, 1 485,  ,  557,  71,  9,  25,  134,  21,  34,  3,  430,  60,  6,  9,  10,  16,  2
Salvaterra de Magos, 21 607, 21 003,  604,  ,  316,  27,  10,  11,  28,  24,  21,  ,  37,  22,  7,  2,  7,  5,  1
Santarém, 58 662, 55 952, 2 710,  , 1 022,  193,  27,  44,  185,  54,  106,  9,  286,  241,  17,  25,  28,  15,  9
Alto Alentejo, 104 923, 102 691, 2 231,  1,  597,  80,  42,  126,  82,  45,  117,  26,  42,  237,  39,  2,  252,  60,  14
Alter do Chão, 3 044, 2 952,  92,  ,  16,  12,  ,  2,  2,  ,  4,  ,  ,  36,  ,  ,  7,  ,  
Arronches, 2 789, 2 730,  59,  ,  3,  ,  1,  6,  5,  ,  ,  ,  ,  14,  4,  ,  9,  3,  
Avis, 3 812, 3 727,  85,  ,  16,  ,  2,  10,  3,  3,  3,  ,  ,  12,  1,  ,  1,  1,  
Campo Maior, 8 042, 7 844,  198,  ,  38,  5,  4,  2,  5,  3,  4,  ,  ,  33,  ,  ,  46,  3,  
Castelo de Vide, 3 116, 3 010,  106,  ,  9,  2,  ,  9,  9,  6,  7,  ,  ,  5,  3,  ,  13,  12,  
Crato, 3 225, 3 174,  51,  ,  14,  ,  ,  ,  4,  ,  ,  ,  ,  14,  1,  ,  2,  ,  3
Elvas, 20 730, 20 257,  472,  1,  121,  21,  3,  14,  15,  5,  28,  4,  5,  40,  10,  ,  114,  2,  
Fronteira, 2 858, 2 815,  43,  ,  15,  ,  2,  ,  3,  1,  2,  1,  ,  6,  3,  2,  2,  1,  
Gavião, 3 394, 3 354,  40,  ,  16,  1,  1,  2,  4,  ,  ,  ,  ,  3,  2,  ,  ,  ,  
Marvão, 3 021, 2 874,  147,  ,  25,  1,  ,  29,  3,  7,  ,  ,  ,  ,  2,  ,  17,  23,  
Monforte, 2 992, 2 961,  31,  ,  5,  2,  1,  ,  2,  ,  3,  ,  ,  6,  2,  ,  1,  ,  
Nisa, 5 952, 5 853,  99,  ,  23,  1,  ,  14,  1,  10,  8,  ,  6,  6,  1,  ,  4,  6,  
Ponte de Sor, 15 248, 14 950,  298,  ,  150,  7,  1,  18,  17,  5,  15,  ,  15,  17,  4,  ,  5,  3,  
Portalegre, 22 340, 21 927,  413,  ,  126,  27,  27,  17,  9,  4,  22,  21,  13,  25,  3,  ,  25,  4,  11
Sousel, 4 360, 4 263,  97,  ,  20,  1,  ,  3,  ,  1,  21,  ,  3,  20,  3,  ,  6,  2,  
Alentejo Central, 152 444, 148 419, 4 025,  , 1 605,  83,  105,  91,  236,  83,  262,  22,  117,  314,  69,  92,  141,  88,  12
Alandroal, 5 014, 4 913,  101,  ,  28,  3,  ,  9,  4,  5,  6,  ,  ,  5,  2,  1,  3,  1,  
Arraiolos, 6 606, 6 477,  129,  ,  27,  2,  ,  4,  4,  7,  17,  ,  4,  16,  6,  ,  7,  6,  
Borba, 6 428, 6 321,  107,  ,  31,  2,  2,  3,  13,  5,  2,  5,  ,  17,  2,  1,  5,  3,  
Estremoz, 12 680, 12 395,  285,  ,  84,  6,  2,  11,  29,  8,  18,  ,  ,  66,  5,  ,  6,  8,  
Évora, 53 577, 51 869, 1 708,  ,  852,  44,  70,  20,  87,  25,  94,  12,  23,  51,  29,  69,  61,  27,  9
Montemor-o-Novo, 15 799, 15 343,  456,  ,  179,  6,  8,  6,  19,  14,  22,  1,  ,  34,  12,  8,  9,  21,  
Mora, 4 135, 4 064,  71,  ,  32,  1,  ,  4,  ,  4,  6,  ,  ,  5,  1,  ,  1,  1,  1
Mourão, 2 351, 2 325,  26,  ,  6,  1,  1,  ,  ,  ,  ,  ,  ,  2,  ,  ,  4,  1,  
Portel, 5 747, 5 581,  166,  ,  60,  ,  5,  7,  7,  2,  10,  ,  ,  22,  1,  2,  7,  4,  
Redondo, 6 286, 6 126,  160,  ,  44,  1,  2,  5,  13,  ,  6,  ,  ,  47,  ,  ,  6,  ,  
Reguengos de Monsaraz, 9 871, 9 650,  221,  ,  63,  1,  3,  14,  25,  7,  17,  ,  ,  16,  3,  ,  7,  4,  
Vendas Novas, 11 245, 10 907,  338,  ,  93,  6,  7,  3,  26,  3,  32,  1,  90,  17,  7,  9,  8,  6,  2
Viana do Alentejo, 5 318, 5 195,  123,  ,  55,  5,  4,  2,  6,  1,  18,  3,  ,  5,  1,  2,  4,  2,  
Vila Viçosa, 7 387, 7 253,  134,  ,  51,  5,  1,  3,  3,  2,  14,  ,  ,  11,  ,  ,  13,  4,  
Algarve, 467 343, 399 398, 67 921,  24, 14 694,  767, 1 376, 12 031, 3 914, 4 045, 1 081,  868, 1 894, 3 082, 2 730, 1 351,  917, 3 030,  72
Algarve, 467 343, 399 398, 67 921,  24, 14 694,  767, 1 376, 12 031, 3 914, 4 045, 1 081,  868, 1 894, 3 082, 2 730, 1 351,  917, 3 030,  72
Albufeira, 44 164, 35 310, 8 848,  6, 2 480,  76,  159, 1 167,  748,  462,  204,  237,  560,  223,  167,  336,  87,  173,  16
Alcoutim, 2 523, 2 391,  132,  ,  9,  ,  4,  51,  1,  14,  ,  ,  ,  2,  1,  1,  8,  10,  
Aljezur, 6 045, 4 494, 1 551,  ,  178,  5,  3,  344,  42,  61,  11,  8,  100,  16,  51,  6,  27,  261,  1
Castro Marim, 6 439, 5 867,  572,  ,  76,  3,  2,  106,  14,  37,  6,  1,  5,  23,  75,  1,  21,  37,  
Faro, 67 622, 61 001, 6 620,  1, 2 137,  89,  217,  539,  564,  318,  94,  122,  225,  302,  157,  190,  118,  147,  2
Lagoa, 23 725, 20 221, 3 502,  2,  528,  38,  99,  921,  158,  173,  38,  10,  86,  49,  73,  8,  26,  274,  1
Lagos, 33 494, 25 777, 7 715,  2, 1 199,  67,  80, 2 112,  302,  443,  124,  8,  172,  239,  278,  58,  69,  477,  9
Loulé, 72 332, 60 808, 11 521,  3, 2 684,  153,  383, 1 984,  644,  708,  216,  104,  69, 1 086,  402,  216,  127,  231,  10
Monchique, 5 462, 4 745,  717,  ,  54,  6,  1,  226,  13,  25,  3,  ,  3,  44,  13,  5,  6,  122,  1
Olhão, 44 614, 40 628, 3 984,  2,  746,  81,  96,  514,  270,  495,  56,  109,  62,  172,  226,  75,  54,  204,  2
Portimão, 59 845, 51 426, 8 416,  3, 2 588,  129,  173,  778,  569,  341,  145,  182,  221,  421,  489,  47,  130,  232,  14
São Brás de Alportel, 11 248, 9 905, 1 343,  ,  197,  14,  13,  427,  113,  104,  15,  4,  10,  21,  18,  8,  26,  82,  1
Silves, 37 766, 32 672, 5 093,  1, 1 014,  59,  60, 1 145,  254,  230,  71,  53,  252,  180,  117,  55,  42,  268,  7
Tavira, 27 523, 22 804, 4 715,  4,  420,  27,  45, 1 074,  94,  439,  38,  16,  92,  179,  317,  240,  64,  197,  2
Vila do Bispo, 5 717, 4 239, 1 478,  ,  122,  1,  23,  462,  39,  101,  6,  4,  10,  33,  48,  6,  43,  259,  4
Vila Real de Santo António, 18 824, 17 110, 1 714,  ,  262,  19,  18,  181,  89,  94,  54,  10,  27,  92,  298,  99,  69,  56,  2
Região Autónoma dos Açores, 236 413, 233 065, 3 346,  2,  639,  56,  126,  157,  58,  130,  230,  10,  9,  16,  130,  ,  109,  365,  10
Região Autónoma dos Açores , 236 413, 233 065, 3 346,  2,  639,  56,  126,  157,  58,  130,  230,  10,  9,  16,  130,  ,  109,  365,  10
Região Autónoma dos Açores, 236 413, 233 065, 3 346,  2,  639,  56,  126,  157,  58,  130,  230,  10,  9,  16,  130,  ,  109,  365,  10
Angra do Heroísmo, 33 771, 33 325,  446,  ,  84,  14,  20,  11,  10,  11,  19,  1,  2,  2,  16,  ,  22,  26,  1
Calheta, 3 437, 3 389,  48,  ,  9,  2,  1,  2,  ,  ,  1,  ,  ,  ,  1,  ,  ,  7,  
Corvo,  384,  373,  11,  ,  2,  ,  3,  ,  2,  ,  ,  ,  ,  ,  ,  ,  3,  ,  
Horta, 14 331, 13 876,  455,  ,  75,  ,  29,  44,  6,  23,  22,  ,  1,  ,  24,  ,  21,  44,  3
Lagoa, 14 189, 14 039,  150,  ,  19,  3,  7,  5,  ,  4,  24,  2,  ,  ,  7,  ,  ,  12,  
Lajes das Flores, 1 408, 1 333,  74,  1,  2,  ,  2,  6,  2,  6,  1,  1,  ,  ,  7,  ,  1,  19,  1
Lajes do Pico, 4 340, 4 224,  116,  ,  33,  2,  3,  11,  1,  7,  3,  ,  ,  ,  3,  ,  ,  18,  
Madalena, 6 319, 6 157,  162,  ,  40,  2,  12,  8,  2,  13,  13,  ,  ,  ,  9,  ,  1,  12,  
Nordeste, 4 368, 4 281,  87,  ,  12,  3,  ,  7,  ,  2,  2,  1,  ,  2,  4,  ,  10,  12,  
Ponta Delgada, 67 229, 66 473,  755,  1,  167,  15,  24,  19,  22,  32,  52,  4,  1,  6,  32,  ,  31,  80,  5
Povoação, 5 791, 5 690,  101,  ,  24,  1,  ,  4,  1,  4,  12,  ,  ,  2,  3,  ,  1,  10,  
Ribeira Grande, 31 388, 31 130,  258,  ,  46,  5,  3,  8,  3,  12,  40,  1,  4,  2,  3,  ,  5,  22,  
Santa Cruz da Graciosa, 4 090, 4 047,  43,  ,  10,  2,  ,  1,  ,  1,  5,  ,  ,  ,  2,  ,  3,  8,  
Santa Cruz das Flores, 2 020, 1 982,  38,  ,  1,  ,  1,  2,  ,  2,  ,  ,  1,  ,  1,  ,  1,  12,  
São Roque do Pico, 3 220, 3 126,  94,  ,  16,  1,  11,  5,  2,  2,  10,  ,  ,  ,  8,  ,  ,  13,  
Velas, 4 936, 4 837,  99,  ,  25,  1,  1,  3,  1,  3,  10,  ,  ,  ,  1,  ,  ,  9,  
Vila da Praia da Vitória, 19 463, 19 256,  207,  ,  44,  5,  5,  4,  6,  2,  14,  ,  ,  2,  5,  ,  1,  12,  
Vila do Porto, 5 406, 5 277,  129,  ,  18,  ,  1,  10,  ,  4,  2,  ,  ,  ,  1,  ,  6,  44,  
Vila Franca do Campo, 10 323, 10 250,  73,  ,  12,  ,  3,  7,  ,  2,  ,  ,  ,  ,  3,  ,  3,  5,  
Região Autónoma da Madeira , 250 744, 243 711, 7 029,  4,  672,  60,  28,  903,  159,  210,  143,  23,  17,  90,  282,  38,  178,  475,  51
Região Autónoma da Madeira , 250 744, 243 711, 7 029,  4,  672,  60,  28,  903,  159,  210,  143,  23,  17,  90,  282,  38,  178,  475,  51
Região Autónoma da Madeira , 250 744, 243 711, 7 029,  4,  672,  60,  28,  903,  159,  210,  143,  23,  17,  90,  282,  38,  178,  475,  51
Calheta, 10 915, 10 279,  636,  ,  13,  7,  ,  119,  1,  25,  8,  ,  ,  ,  15,  ,  10,  101,  
Câmara de Lobos, 32 162, 31 652,  510,  ,  46,  3,  1,  70,  13,  11,  8,  ,  ,  6,  8,  ,  11,  19,  
Funchal, 105 782, 102 673, 3 105,  4,  354,  23,  13,  356,  111,  101,  83,  13,  14,  55,  167,  31,  88,  166,  12
Machico, 19 593, 19 287,  306,  ,  41,  15,  2,  40,  6,  11,  9,  1,  ,  3,  12,  2,  11,  8,  
Ponta do Sol, 8 360, 7 993,  367,  ,  5,  2,  1,  55,  1,  4,  11,  ,  ,  ,  8,  ,  11,  38,  
Porto Moniz, 2 517, 2 448,  69,  ,  ,  ,  ,  5,  ,  ,  ,  ,  ,  1,  ,  ,  3,  3,  
Porto Santo, 5 149, 4 911,  238,  ,  21,  ,  1,  34,  3,  12,  6,  ,  1,  13,  21,  ,  4,  20,  39
Ribeira Brava, 12 680, 12 248,  432,  ,  32,  2,  ,  52,  1,  9,  4,  ,  ,  1,  11,  ,  9,  13,  
Santa Cruz, 42 168, 41 079, 1 089,  ,  132,  8,  8,  137,  19,  25,  10,  9,  2,  10,  35,  ,  25,  94,  
Santana, 6 553, 6 419,  134,  ,  18,  ,  2,  18,  4,  7,  ,  ,  ,  1,  2,  ,  4,  7,  
São Vicente, 4 865, 4 722,  143,  ,  10,  ,  ,  17,  ,  5,  4,  ,  ,  ,  3,  5,  2,  6,  
"Fonte: INE, Recenseamentos da População e da Habitação, 2021",,,,,,,,,,,,,,,,,,,
