"Quadro 1.2 - População residente por nacionalidade, por local de residência (NUTS I/II/III/Município), Portugal, 2021",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"NUTS I, II, III
Município",População residente ,,,,15 Principais nacionalidades estrangeiras ,,,,,,,,,,,,,,
,Total ,Nacionalidade portuguesa ,Nacionalidade estrangeira,Apátrida ,Brasil,Angola,Cabo Verde,Reino Unido,Ucrânia,França,China,Guiné-Bissau,Índia,Roménia,Itália,Nepal,Espanha,Alemanha,São Tomé e Príncipe
Santa Maria da Feira, 136 674, 133 927, 2 744,  3, 1 317,  137,  47,  30,  111,  94,  85,  7,  3,  17,  73,  1,  116,  57,  86
Santo Tirso, 67 709, 66 666, 1 043,  ,  459,  59,  13,  7,  42,  57,  38,  3,  5,  9,  28,  6,  32,  42,  16
São João da Madeira, 22 143, 21 079, 1 064,  ,  635,  44,  6,  4,  57,  20,  47,  3,  ,  1,  24,  1,  16,  8,  4
Trofa, 38 548, 37 631,  917,  ,  467,  15,  13,  12,  79,  13,  31,  ,  48,  3,  14,  21,  30,  8,  15
Vale de Cambra, 21 269, 20 732,  537,  ,  342,  20,  3,  5,  22,  21,  15,  2,  4,  ,  6,  2,  7,  6,  6
Valongo, 94 672, 92 778, 1 894,  , 1 135,  85,  21,  20,  88,  63,  58,  14,  17,  11,  32,  2,  51,  21,  13
Vila do Conde, 80 825, 78 483, 2 342,  ,  890,  59,  9,  38,  48,  73,  704,  9,  35,  11,  31,  7,  79,  56,  
Vila Nova de Gaia, 303 824, 293 532, 10 285,  7, 5 778,  794,  164,  141,  291,  319,  228,  91,  81,  60,  304,  77,  279,  162,  35
Alto Tâmega, 84 248, 83 031, 1 217,  ,  409,  61,  4,  14,  32,  129,  90,  3,  10,  30,  13,  ,  149,  31,  7
Boticas, 5 000, 4 928,  72,  ,  27,  2,  ,  2,  1,  13,  3,  ,  ,  ,  ,  ,  4,  1,  6
Chaves, 37 590, 36 957,  633,  ,  231,  40,  3,  3,  16,  56,  46,  2,  ,  23,  8,  ,  79,  15,  
Montalegre, 9 261, 9 138,  123,  ,  27,  6,  1,  5,  6,  14,  6,  ,  3,  ,  3,  ,  23,  4,  
Ribeira de Pena, 5 884, 5 827,  57,  ,  19,  3,  ,  ,  ,  8,  11,  ,  ,  ,  ,  ,  6,  2,  
Valpaços, 14 701, 14 519,  182,  ,  56,  7,  ,  3,  8,  25,  12,  1,  ,  4,  1,  ,  19,  5,  
Vila Pouca de Aguiar, 11 812, 11 662,  150,  ,  49,  3,  ,  1,  1,  13,  12,  ,  7,  3,  1,  ,  18,  4,  1
Tâmega e Sousa, 408 637, 404 888, 3 747,  2, 1 686,  232,  26,  81,  110,  231,  161,  35,  38,  33,  32,  2,  137,  73,  54
Amarante, 52 116, 51 554,  562,  ,  231,  50,  8,  20,  16,  50,  14,  1,  7,  5,  3,  ,  25,  11,  2
Baião, 17 534, 17 377,  157,  ,  64,  6,  ,  4,  2,  9,  4,  ,  2,  3,  1,  ,  2,  2,  1
