distribuicao_geo_id,localidade_id,nacionalidade_id,populacao_nacional_local,concentracao_relativa,dominio_regional
813,67,15,1,1.3,Baixo
814,67,8,7,9.09,Médio
815,67,6,11,14.29,Alto
816,67,9,1,1.3,Baixo
817,67,7,5,6.49,Médio
818,67,1,4,5.19,Médio
819,68,4,782,34.69,Alto
820,68,2,124,5.5,Médio
821,68,5,34,1.51,Baixo
822,68,15,22,0.98,Baixo
823,68,18,103,4.57,Baixo
824,68,8,146,6.48,Médio
825,68,6,147,6.52,Médio
826,68,9,6,0.27,Baixo
827,68,19,12,0.53,Baixo
828,68,10,42,1.86,Baixo
829,68,13,22,0.98,Baixo
830,68,7,146,6.48,Médio
831,68,1,39,1.73,Baixo
832,68,17,13,0.58,Baixo
833,69,4,31,33.33,Alto
834,69,2,6,6.45,Médio
835,69,18,2,2.15,Baixo
836,69,8,7,7.53,Médio
837,69,6,10,10.75,Alto
838,69,7,8,8.6,Médio
839,69,1,2,2.15,Baixo
840,69,17,1,1.08,Baixo
841,70,4,26,33.33,Alto
842,70,5,1,1.28,Baixo
843,70,18,2,2.56,Baixo
844,70,8,6,7.69,Médio
845,70,6,4,5.13,Médio
846,70,19,2,2.56,Baixo
847,70,10,6,7.69,Médio
848,70,7,4,5.13,Médio
849,70,1,4,5.13,Médio
850,71,4,24,21.62,Alto
851,71,2,4,3.6,Baixo
852,71,5,2,1.8,Baixo
853,71,15,2,1.8,Baixo
854,71,8,5,4.5,Baixo
855,71,6,12,10.81,Alto
856,71,19,3,2.7,Baixo
857,71,10,2,1.8,Baixo
858,71,7,6,5.41,Médio
859,71,1,1,0.9,Baixo
860,72,4,8,12.12,Alto
861,72,2,9,13.64,Alto
862,72,8,4,6.06,Médio
863,72,6,7,10.61,Alto
864,72,7,4,6.06,Médio
865,72,1,1,1.52,Baixo
866,72,17,1,1.52,Baixo
867,73,4,49,28.65,Alto
868,73,2,15,8.77,Médio
869,73,5,4,2.34,Baixo
870,73,15,2,1.17,Baixo
871,73,18,5,2.92,Baixo
872,73,8,5,2.92,Baixo
873,73,6,19,11.11,Alto
874,73,19,1,0.58,Baixo
875,73,10,5,2.92,Baixo
876,73,13,10,5.85,Médio
877,73,7,10,5.85,Médio
878,73,1,3,1.75,Baixo
879,73,17,1,0.58,Baixo
880,74,4,4,25.0,Alto
881,74,2,1,6.25,Médio
882,74,15,1,6.25,Médio
883,74,18,3,18.75,Alto
884,74,8,1,6.25,Médio
885,74,7,3,18.75,Alto
886,75,4,58,41.73,Alto
887,75,2,3,2.16,Baixo
888,75,5,9,6.47,Médio
889,75,15,1,0.72,Baixo
890,75,18,14,10.07,Alto
891,75,8,11,7.91,Médio
892,75,6,4,2.88,Baixo
893,75,13,2,1.44,Baixo
894,75,7,2,1.44,Baixo
895,75,17,1,0.72,Baixo
896,76,4,13,23.21,Alto
897,76,2,6,10.71,Alto
898,76,15,1,1.79,Baixo
899,76,8,8,14.29,Alto
900,76,6,2,3.57,Baixo
901,76,10,2,3.57,Baixo
902,76,7,12,21.43,Alto
903,77,4,12,30.77,Alto
904,77,2,2,5.13,Médio
905,77,5,3,7.69,Médio
906,77,18,3,7.69,Médio
907,77,8,6,15.38,Alto
908,77,6,3,7.69,Médio
909,77,7,3,7.69,Médio
910,77,1,2,5.13,Médio
911,78,4,36,33.33,Alto
912,78,2,4,3.7,Baixo
913,78,5,3,2.78,Baixo
914,78,15,1,0.93,Baixo
915,78,18,6,5.56,Médio
916,78,8,3,2.78,Baixo
917,78,6,7,6.48,Médio
918,78,9,1,0.93,Baixo
919,78,10,2,1.85,Baixo
920,78,7,5,4.63,Baixo
921,78,1,1,0.93,Baixo
922,78,17,5,4.63,Baixo
923,79,4,19,32.2,Alto
924,79,2,2,3.39,Baixo
925,79,8,1,1.69,Baixo
926,79,6,2,3.39,Baixo
927,79,7,6,10.17,Alto
928,79,1,1,1.69,Baixo
929,80,4,9,14.52,Alto
930,80,2,3,4.84,Baixo
931,80,5,1,1.61,Baixo
932,80,8,4,6.45,Médio
933,80,6,3,4.84,Baixo
934,80,10,1,1.61,Baixo
935,80,13,1,1.61,Baixo
936,80,7,2,3.23,Baixo
937,80,1,2,3.23,Baixo
938,81,4,14,22.58,Alto
939,81,2,1,1.61,Baixo
940,81,5,1,1.61,Baixo
941,81,15,1,1.61,Baixo
942,81,18,5,8.06,Médio
943,81,8,5,8.06,Médio
944,81,6,5,8.06,Médio
945,81,7,3,4.84,Baixo
946,81,1,3,4.84,Baixo
947,82,4,22,27.5,Alto
948,82,2,4,5.0,Baixo
949,82,18,1,1.25,Baixo
950,82,8,15,18.75,Alto
951,82,6,2,2.5,Baixo
952,82,10,5,6.25,Médio
953,82,13,9,11.25,Alto
954,82,7,4,5.0,Baixo
955,82,1,2,2.5,Baixo
956,83,4,18,31.03,Alto
957,83,2,4,6.9,Médio
958,83,15,1,1.72,Baixo
959,83,18,1,1.72,Baixo
960,83,8,7,12.07,Alto
961,83,6,8,13.79,Alto
962,83,19,5,8.62,Médio
963,83,7,9,15.52,Alto
964,83,1,1,1.72,Baixo
965,84,4,19,31.67,Alto
966,84,2,2,3.33,Baixo
967,84,5,1,1.67,Baixo
968,84,18,5,8.33,Médio
969,84,8,5,8.33,Médio
970,84,6,4,6.67,Médio
971,84,10,2,3.33,Baixo
972,84,7,1,1.67,Baixo
973,84,1,2,3.33,Baixo
974,85,4,28,28.87,Alto
975,85,2,6,6.19,Médio
976,85,5,2,2.06,Baixo
977,85,18,2,2.06,Baixo
978,85,8,6,6.19,Médio
979,85,6,4,4.12,Baixo
980,85,9,1,1.03,Baixo
981,85,10,2,2.06,Baixo
982,85,7,8,8.25,Médio
983,85,1,3,3.09,Baixo
984,86,4,31,19.38,Alto
985,86,2,6,3.75,Baixo
986,86,15,1,0.62,Baixo
987,86,18,25,15.62,Alto
988,86,8,16,10.0,Médio
989,86,6,2,1.25,Baixo
990,86,9,3,1.88,Baixo
991,86,7,6,3.75,Baixo
992,86,1,1,0.62,Baixo
993,87,4,361,48.85,Alto
994,87,2,46,6.22,Médio
995,87,5,7,0.95,Baixo
996,87,15,11,1.49,Baixo
997,87,18,29,3.92,Baixo
998,87,8,31,4.19,Baixo
999,87,6,49,6.63,Médio
1000,87,9,1,0.14,Baixo
1001,87,19,1,0.14,Baixo
1002,87,10,15,2.03,Baixo
1003,87,7,50,6.77,Médio
1004,87,1,10,1.35,Baixo
1005,87,17,4,0.54,Baixo
1006,88,4,779,24.6,Alto
1007,88,2,170,5.37,Médio
1008,88,5,566,17.87,Alto
1009,88,15,14,0.44,Baixo
1010,88,18,89,2.81,Baixo
1011,88,8,156,4.93,Baixo
1012,88,6,116,3.66,Baixo
1013,88,9,87,2.75,Baixo
1014,88,19,7,0.22,Baixo
1015,88,10,38,1.2,Baixo
1016,88,13,44,1.39,Baixo
1017,88,7,262,8.27,Médio
1018,88,1,33,1.04,Baixo
1019,88,17,148,4.67,Baixo
1020,89,4,11,11.34,Alto
1021,89,2,5,5.15,Médio
1022,89,18,2,2.06,Baixo
1023,89,8,6,6.19,Médio
1024,89,6,9,9.28,Médio
1025,89,10,1,1.03,Baixo
1026,89,7,8,8.25,Médio
1027,90,4,421,26.36,Alto
1028,90,2,110,6.89,Médio
1029,90,5,485,30.37,Alto
1030,90,15,6,0.38,Baixo
1031,90,18,40,2.5,Baixo
1032,90,8,45,2.82,Baixo
1033,90,6,33,2.07,Baixo
1034,90,9,57,3.57,Baixo
1035,90,10,9,0.56,Baixo
1036,90,13,21,1.31,Baixo
1037,90,7,69,4.32,Baixo
1038,90,1,10,0.63,Baixo
1039,90,17,111,6.95,Médio
1040,91,4,51,13.67,Alto
1041,91,2,14,3.75,Baixo
1042,91,5,1,0.27,Baixo
1043,91,15,2,0.54,Baixo
1044,91,18,19,5.09,Médio
1045,91,8,31,8.31,Médio
1046,91,6,13,3.49,Baixo
1047,91,9,14,3.75,Baixo
1048,91,19,2,0.54,Baixo
1049,91,10,1,0.27,Baixo
1050,91,7,57,15.28,Alto
1051,91,1,12,3.22,Baixo
1052,91,17,5,1.34,Baixo
1053,92,4,37,27.41,Alto
1054,92,2,3,2.22,Baixo
1055,92,5,8,5.93,Médio
1056,92,15,1,0.74,Baixo
1057,92,18,5,3.7,Baixo
1058,92,8,7,5.19,Médio
1059,92,6,5,3.7,Baixo
1060,92,10,11,8.15,Médio
1061,92,7,31,22.96,Alto
1062,92,1,1,0.74,Baixo
1063,93,4,142,29.1,Alto
1064,93,2,29,5.94,Médio
1065,93,5,57,11.68,Alto
1066,93,15,2,0.41,Baixo
1067,93,18,17,3.48,Baixo
1068,93,8,22,4.51,Baixo
1069,93,6,30,6.15,Médio
1070,93,9,13,2.66,Baixo
1071,93,10,6,1.23,Baixo
1072,93,13,6,1.23,Baixo
1073,93,7,36,7.38,Médio
1074,93,1,4,0.82,Baixo
1075,93,17,32,6.56,Médio
1076,94,4,33,28.7,Alto
1077,94,2,1,0.87,Baixo
1078,94,8,19,16.52,Alto
1079,94,6,6,5.22,Médio
1080,94,19,5,4.35,Baixo
1081,94,10,4,3.48,Baixo
1082,94,7,33,28.7,Alto
1083,94,1,1,0.87,Baixo
1084,95,4,31,15.98,Alto
1085,95,2,3,1.55,Baixo
1086,95,5,8,4.12,Baixo
1087,95,15,1,0.52,Baixo
1088,95,18,1,0.52,Baixo
1089,95,8,8,4.12,Baixo
1090,95,6,5,2.58,Baixo
1091,95,9,3,1.55,Baixo
1092,95,13,17,8.76,Médio
1093,95,7,6,3.09,Baixo
1094,96,4,34,37.36,Alto
1095,96,2,1,1.1,Baixo
1096,96,5,6,6.59,Médio
1097,96,15,1,1.1,Baixo
1098,96,18,5,5.49,Médio
1099,96,8,8,8.79,Médio
1100,96,6,6,6.59,Médio
1101,96,10,6,6.59,Médio
1102,96,7,8,8.79,Médio
1103,96,1,1,1.1,Baixo
1104,97,4,19,24.68,Alto
1105,97,2,4,5.19,Médio
1106,97,5,1,1.3,Baixo
1107,97,15,1,1.3,Baixo
1108,97,8,10,12.99,Alto
1109,97,6,9,11.69,Alto
1110,97,7,14,18.18,Alto
1111,97,1,4,5.19,Médio
1112,98,4,34120,40.72,Alto
1113,98,2,3890,4.64,Baixo
1114,98,5,1296,1.55,Baixo
1115,98,15,5262,6.28,Médio
1116,98,18,5467,6.52,Médio
1117,98,8,3440,4.11,Baixo
1118,98,6,2281,2.72,Baixo
1119,98,9,1214,1.45,Baixo
1120,98,19,2383,2.84,Baixo
1121,98,10,1390,1.66,Baixo
1122,98,13,1564,1.87,Baixo
1123,98,7,1512,1.8,Baixo
1124,98,1,1570,1.87,Baixo
1125,98,17,963,1.15,Baixo
1126,99,4,8343,39.84,Alto
1127,99,2,760,3.63,Baixo
1128,99,5,223,1.06,Baixo
1129,99,15,1235,5.9,Médio
1130,99,18,1378,6.58,Médio
1131,99,8,1003,4.79,Baixo
1132,99,6,441,2.11,Baixo
1133,99,9,425,2.03,Baixo
1134,99,19,705,3.37,Baixo
1135,99,10,320,1.53,Baixo
1136,99,13,858,4.1,Baixo
1137,99,7,240,1.15,Baixo
1138,99,1,365,1.74,Baixo
1139,99,17,104,0.5,Baixo
1140,100,4,835,32.21,Alto
1141,100,2,65,2.51,Baixo
1142,100,5,51,1.97,Baixo
1143,100,15,215,8.29,Médio
1144,100,18,214,8.26,Médio
1145,100,8,178,6.87,Médio
1146,100,6,79,3.05,Baixo
1147,100,9,11,0.42,Baixo
1148,100,19,162,6.25,Médio
1149,100,10,27,1.04,Baixo
1150,100,13,62,2.39,Baixo
1151,100,7,16,0.62,Baixo
1152,100,1,58,2.24,Baixo
1153,100,17,10,0.39,Baixo
1154,101,4,1688,53.81,Alto
1155,101,2,238,7.59,Médio
1156,101,5,43,1.37,Baixo
1157,101,15,41,1.31,Baixo
1158,101,18,221,7.04,Médio
1159,101,8,42,1.34,Baixo
1160,101,6,52,1.66,Baixo
1161,101,9,204,6.5,Médio
1162,101,19,81,2.58,Baixo
1163,101,10,12,0.38,Baixo
1164,101,13,18,0.57,Baixo
1165,101,7,24,0.77,Baixo
1166,101,1,23,0.73,Baixo
1167,101,17,23,0.73,Baixo
1168,102,4,463,63.6,Alto
1169,102,2,11,1.51,Baixo
1170,102,5,6,0.82,Baixo
1171,102,15,13,1.79,Baixo
1172,102,18,55,7.55,Médio
1173,102,8,5,0.69,Baixo
1174,102,6,18,2.47,Baixo
1175,102,9,5,0.69,Baixo
1176,102,19,8,1.1,Baixo
1177,102,10,5,0.69,Baixo
1178,102,13,3,0.41,Baixo
1179,102,7,17,2.34,Baixo
1180,102,1,2,0.27,Baixo
1181,103,4,163,24.59,Alto
1182,103,2,56,8.45,Médio
1183,103,5,2,0.3,Baixo
1184,103,15,45,6.79,Médio
1185,103,18,56,8.45,Médio
1186,103,8,44,6.64,Médio
1187,103,6,24,3.62,Baixo
1188,103,9,15,2.26,Baixo
1189,103,19,32,4.83,Baixo
1190,103,10,6,0.9,Baixo
1191,103,13,34,5.13,Médio
1192,103,7,6,0.9,Baixo
1193,103,1,11,1.66,Baixo
1194,104,4,139,25.88,Alto
1195,104,2,12,2.23,Baixo
1196,104,5,11,2.05,Baixo
1197,104,15,52,9.68,Médio
1198,104,18,52,9.68,Médio
1199,104,8,62,11.55,Alto
1200,104,6,8,1.49,Baixo
1201,104,9,7,1.3,Baixo
1202,104,19,12,2.23,Baixo
1203,104,10,8,1.49,Baixo
1204,104,13,31,5.77,Médio
1205,104,7,9,1.68,Baixo
1206,104,1,10,1.86,Baixo
1207,105,4,1344,36.62,Alto
1208,105,2,101,2.75,Baixo
1209,105,5,25,0.68,Baixo
1210,105,15,372,10.14,Alto
1211,105,18,267,7.28,Médio
1212,105,8,257,7.0,Médio
1213,105,6,50,1.36,Baixo
1214,105,9,97,2.64,Baixo
1215,105,19,69,1.88,Baixo
1216,105,10,84,2.29,Baixo
1217,105,13,38,1.04,Baixo
1218,105,7,39,1.06,Baixo
1219,105,1,68,1.85,Baixo
1220,105,17,17,0.46,Baixo
1221,106,4,561,39.56,Alto
1222,106,2,42,2.96,Baixo
1223,106,5,7,0.49,Baixo
1224,106,15,67,4.72,Baixo
1225,106,18,79,5.57,Médio
1226,106,8,86,6.06,Médio
1227,106,6,26,1.83,Baixo
1228,106,9,6,0.42,Baixo
1229,106,19,32,2.26,Baixo
1230,106,10,29,2.05,Baixo
1231,106,13,46,3.24,Baixo
1232,106,7,11,0.78,Baixo
1233,106,1,58,4.09,Baixo
1234,106,17,5,0.35,Baixo
1235,107,4,299,36.64,Alto
1236,107,2,29,3.55,Baixo
1237,107,5,3,0.37,Baixo
1238,107,15,41,5.02,Médio
1239,107,18,24,2.94,Baixo
1240,107,8,79,9.68,Médio
1241,107,6,23,2.82,Baixo
1242,107,9,2,0.25,Baixo
1243,107,19,16,1.96,Baixo
1244,107,10,29,3.55,Baixo
1245,107,13,18,2.21,Baixo
1246,107,7,12,1.47,Baixo
1247,107,1,5,0.61,Baixo
1248,107,17,25,3.06,Baixo
1249,108,4,146,18.09,Alto
1250,108,2,13,1.61,Baixo
1251,108,5,1,0.12,Baixo
1252,108,15,185,22.92,Alto
1253,108,18,35,4.34,Baixo
1254,108,8,74,9.17,Médio
1255,108,6,9,1.12,Baixo
1256,108,9,12,1.49,Baixo
1257,108,19,1,0.12,Baixo
1258,108,10,16,1.98,Baixo
1259,108,13,46,5.7,Médio
1260,108,7,6,0.74,Baixo
1261,108,1,23,2.85,Baixo
1262,108,17,1,0.12,Baixo
1263,109,4,355,32.69,Alto
1264,109,2,31,2.85,Baixo
1265,109,5,38,3.5,Baixo
1266,109,15,88,8.1,Médio
1267,109,18,47,4.33,Baixo
1268,109,8,73,6.72,Médio
1269,109,6,33,3.04,Baixo
1270,109,9,30,2.76,Baixo
1271,109,19,10,0.92,Baixo
1272,109,10,30,2.76,Baixo
1273,109,13,15,1.38,Baixo
1274,109,7,26,2.39,Baixo
1275,109,1,40,3.68,Baixo
1276,109,17,7,0.64,Baixo
1277,110,4,313,63.36,Alto
1278,110,2,12,2.43,Baixo
1279,110,5,4,0.81,Baixo
1280,110,15,8,1.62,Baixo
1281,110,18,34,6.88,Médio
1282,110,8,11,2.23,Baixo
1283,110,6,3,0.61,Baixo
1284,110,9,1,0.2,Baixo
1285,110,10,7,1.42,Baixo
1286,110,13,2,0.4,Baixo
1287,110,7,5,1.01,Baixo
1288,110,1,7,1.42,Baixo
1289,110,17,8,1.62,Baixo
1290,111,4,2037,40.8,Alto
1291,111,2,150,3.0,Baixo
1292,111,5,32,0.64,Baixo
1293,111,15,108,2.16,Baixo
1294,111,18,294,5.89,Médio
1295,111,8,92,1.84,Baixo
1296,111,6,116,2.32,Baixo
1297,111,9,35,0.7,Baixo
1298,111,19,282,5.65,Médio
1299,111,10,67,1.34,Baixo
1300,111,13,545,10.92,Alto
1301,111,7,69,1.38,Baixo
1302,111,1,60,1.2,Baixo
1303,111,17,8,0.16,Baixo
1304,112,4,5767,43.29,Alto
1305,112,2,664,4.98,Baixo
1306,112,5,149,1.12,Baixo
1307,112,15,156,1.17,Baixo
1308,112,18,687,5.16,Médio
1309,112,8,409,3.07,Baixo
1310,112,6,374,2.81,Baixo
1311,112,9,235,1.76,Baixo
1312,112,19,278,2.09,Baixo
1313,112,10,246,1.85,Baixo
1314,112,13,115,0.86,Baixo
1315,112,7,323,2.42,Baixo
1316,112,1,161,1.21,Baixo
1317,112,17,205,1.54,Baixo
1318,113,4,690,42.67,Alto
1319,113,2,73,4.51,Baixo
1320,113,5,24,1.48,Baixo
1321,113,15,15,0.93,Baixo
1322,113,18,101,6.25,Médio
1323,113,8,38,2.35,Baixo
1324,113,6,32,1.98,Baixo
1325,113,9,27,1.67,Baixo
1326,113,19,44,2.72,Baixo
1327,113,10,33,2.04,Baixo
1328,113,13,6,0.37,Baixo
1329,113,7,30,1.86,Baixo
1330,113,1,12,0.74,Baixo
1331,113,17,17,1.05,Baixo
1332,114,4,300,40.16,Alto
1333,114,2,18,2.41,Baixo
1334,114,5,9,1.2,Baixo
1335,114,15,5,0.67,Baixo
1336,114,18,54,7.23,Médio
1337,114,8,19,2.54,Baixo
1338,114,6,17,2.28,Baixo
1339,114,9,6,0.8,Baixo
1340,114,19,78,10.44,Alto
1341,114,10,8,1.07,Baixo
1342,114,13,4,0.54,Baixo
1343,114,7,19,2.54,Baixo
1344,114,1,10,1.34,Baixo
1345,114,17,8,1.07,Baixo
1346,115,4,325,40.17,Alto
1347,115,2,33,4.08,Baixo
1348,115,5,10,1.24,Baixo
1349,115,15,13,1.61,Baixo
1350,115,18,62,7.66,Médio
1351,115,8,42,5.19,Médio
1352,115,6,16,1.98,Baixo
1353,115,9,4,0.49,Baixo
1354,115,19,11,1.36,Baixo
1355,115,10,10,1.24,Baixo
1356,115,13,12,1.48,Baixo
1357,115,7,13,1.61,Baixo
1358,115,1,9,1.11,Baixo
1359,115,17,16,1.98,Baixo
1360,116,4,2269,49.57,Alto
1361,116,2,295,6.45,Médio
1362,116,5,71,1.55,Baixo
1363,116,15,51,1.11,Baixo
1364,116,18,231,5.05,Médio
1365,116,8,62,1.35,Baixo
1366,116,6,135,2.95,Baixo
1367,116,9,98,2.14,Baixo
1368,116,19,60,1.31,Baixo
1369,116,10,106,2.32,Baixo
1370,116,13,30,0.66,Baixo
1371,116,7,105,2.29,Baixo
1372,116,1,39,0.85,Baixo
1373,116,17,55,1.2,Baixo
1374,117,4,185,26.35,Alto
1375,117,2,26,3.7,Baixo
1376,117,5,2,0.28,Baixo
1377,117,15,6,0.85,Baixo
1378,117,18,22,3.13,Baixo
1379,117,8,26,3.7,Baixo
1380,117,6,34,4.84,Baixo
1381,117,9,3,0.43,Baixo
1382,117,19,51,7.26,Médio
1383,117,10,6,0.85,Baixo
1384,117,13,41,5.84,Médio
1385,117,7,20,2.85,Baixo
1386,117,1,12,1.71,Baixo
1387,117,17,4,0.57,Baixo
1388,118,4,607,42.24,Alto
1389,118,2,68,4.73,Baixo
1390,118,5,12,0.84,Baixo
1391,118,15,16,1.11,Baixo
1392,118,18,54,3.76,Baixo
1393,118,8,64,4.45,Baixo
1394,118,6,43,2.99,Baixo
1395,118,9,78,5.43,Médio
1396,118,19,9,0.63,Baixo
1397,118,10,28,1.95,Baixo
1398,118,13,7,0.49,Baixo
1399,118,7,54,3.76,Baixo
1400,118,1,35,2.44,Baixo
1401,118,17,10,0.7,Baixo
1402,119,4,83,30.97,Alto
1403,119,2,10,3.73,Baixo
1404,119,15,1,0.37,Baixo
1405,119,18,11,4.1,Baixo
1406,119,8,26,9.7,Médio
1407,119,6,4,1.49,Baixo
1408,119,9,4,1.49,Baixo
1409,119,19,7,2.61,Baixo
1410,119,10,5,1.87,Baixo
1411,119,7,13,4.85,Baixo
1412,119,1,8,2.99,Baixo
1413,120,4,440,41.59,Alto
1414,120,2,46,4.35,Baixo
1415,120,5,5,0.47,Baixo
1416,120,15,11,1.04,Baixo
1417,120,18,59,5.58,Médio
1418,120,8,27,2.55,Baixo
1419,120,6,38,3.59,Baixo
1420,120,9,5,0.47,Baixo
1421,120,10,16,1.51,Baixo
1422,120,13,2,0.19,Baixo
1423,120,7,18,1.7,Baixo
1424,120,1,5,0.47,Baixo
1425,120,17,57,5.39,Médio
1426,121,4,526,45.23,Alto
1427,121,2,47,4.04,Baixo
1428,121,5,11,0.95,Baixo
1429,121,15,22,1.89,Baixo
1430,121,18,58,4.99,Baixo
1431,121,8,71,6.1,Médio
1432,121,6,32,2.75,Baixo
1433,121,9,7,0.6,Baixo
1434,121,19,7,0.6,Baixo
1435,121,10,21,1.81,Baixo
1436,121,13,5,0.43,Baixo
1437,121,7,33,2.84,Baixo
1438,121,1,20,1.72,Baixo
1439,121,17,9,0.77,Baixo
1440,122,4,130,47.79,Alto
1441,122,2,23,8.46,Médio
1442,122,5,3,1.1,Baixo
1443,122,15,8,2.94,Baixo
1444,122,18,20,7.35,Médio
1445,122,8,5,1.84,Baixo
1446,122,6,7,2.57,Baixo
1447,122,19,6,2.21,Baixo
1448,122,10,5,1.84,Baixo
1449,122,7,4,1.47,Baixo
1450,122,1,3,1.1,Baixo
1451,122,17,4,1.47,Baixo
1452,123,4,212,31.5,Alto
1453,123,2,25,3.71,Baixo
1454,123,5,2,0.3,Baixo
1455,123,15,8,1.19,Baixo
1456,123,18,15,2.23,Baixo
1457,123,8,29,4.31,Baixo
1458,123,6,16,2.38,Baixo
1459,123,9,3,0.45,Baixo
1460,123,19,5,0.74,Baixo
1461,123,10,8,1.19,Baixo
1462,123,13,8,1.19,Baixo
1463,123,7,14,2.08,Baixo
1464,123,1,8,1.19,Baixo
1465,123,17,25,3.71,Baixo
1466,124,4,5602,37.94,Alto
1467,124,2,792,5.36,Médio
1468,124,5,258,1.75,Baixo
1469,124,15,1568,10.62,Alto
1470,124,18,603,4.08,Baixo
1471,124,8,565,3.83,Baixo
1472,124,6,470,3.18,Baixo
1473,124,9,144,0.98,Baixo
1474,124,19,246,1.67,Baixo
1475,124,10,293,1.98,Baixo
1476,124,13,401,2.72,Baixo
1477,124,7,257,1.74,Baixo
1478,124,1,302,2.05,Baixo
1479,124,17,153,1.04,Baixo
1480,125,4,95,16.81,Alto
1481,125,2,10,1.77,Baixo
1482,125,5,2,0.35,Baixo
1483,125,15,242,42.83,Alto
1484,125,18,8,1.42,Baixo
1485,125,8,20,3.54,Baixo
1486,125,6,8,1.42,Baixo
1487,125,10,3,0.53,Baixo
1488,125,7,3,0.53,Baixo
1489,125,1,22,3.89,Baixo
1490,125,17,2,0.35,Baixo
1491,126,4,391,45.84,Alto
1492,126,2,29,3.4,Baixo
1493,126,5,4,0.47,Baixo
1494,126,15,38,4.45,Baixo
1495,126,18,62,7.27,Médio
1496,126,8,41,4.81,Baixo
1497,126,6,32,3.75,Baixo
1498,126,9,6,0.7,Baixo
1499,126,19,6,0.7,Baixo
1500,126,10,15,1.76,Baixo
1501,126,13,11,1.29,Baixo
1502,126,7,13,1.52,Baixo
1503,126,1,8,0.94,Baixo
1504,126,17,5,0.59,Baixo
1505,127,4,2556,46.67,Alto
1506,127,2,424,7.74,Médio
1507,127,5,172,3.14,Baixo
1508,127,15,136,2.48,Baixo
1509,127,18,157,2.87,Baixo
1510,127,8,168,3.07,Baixo
1511,127,6,221,4.04,Baixo
1512,127,9,91,1.66,Baixo
1513,127,19,77,1.41,Baixo
1514,127,10,150,2.74,Baixo
1515,127,13,108,1.97,Baixo
1516,127,7,133,2.43,Baixo
1517,127,1,54,0.99,Baixo
1518,127,17,71,1.3,Baixo
1519,128,4,197,45.39,Alto
1520,128,2,37,8.53,Médio
1521,128,5,7,1.61,Baixo
1522,128,15,25,5.76,Médio
1523,128,18,53,12.21,Alto
1524,128,8,16,3.69,Baixo
1525,128,6,16,3.69,Baixo
1526,128,9,2,0.46,Baixo
1527,128,10,6,1.38,Baixo
1528,128,7,7,1.61,Baixo
1529,128,1,3,0.69,Baixo
1530,128,17,1,0.23,Baixo
1531,129,4,1096,44.39,Alto
1532,129,2,74,3.0,Baixo
1533,129,5,11,0.45,Baixo
1534,129,15,90,3.65,Baixo
1535,129,18,129,5.22,Médio
1536,129,8,124,5.02,Médio
1537,129,6,62,2.51,Baixo
1538,129,9,10,0.41,Baixo
1539,129,19,50,2.03,Baixo
1540,129,10,57,2.31,Baixo
1541,129,13,219,8.87,Médio
1542,129,7,36,1.46,Baixo
1543,129,1,40,1.62,Baixo
1544,129,17,21,0.85,Baixo
1545,130,4,22,11.11,Alto
1546,130,2,9,4.55,Baixo
1547,130,15,88,44.44,Alto
1548,130,18,5,2.53,Baixo
1549,130,8,5,2.53,Baixo
1550,130,6,1,0.51,Baixo
1551,130,9,1,0.51,Baixo
1552,130,7,1,0.51,Baixo
1553,130,1,13,6.57,Médio
1554,131,4,112,23.83,Alto
1555,131,2,27,5.74,Médio
1556,131,5,6,1.28,Baixo
1557,131,15,122,25.96,Alto
1558,131,18,19,4.04,Baixo
1559,131,8,22,4.68,Baixo
1560,131,6,14,2.98,Baixo
1561,131,9,1,0.21,Baixo
1562,131,19,1,0.21,Baixo
1563,131,10,12,2.55,Baixo
1564,131,7,4,0.85,Baixo
1565,131,1,22,4.68,Baixo
1566,131,17,2,0.43,Baixo
1567,132,4,168,36.52,Alto
1568,132,2,39,8.48,Médio
1569,132,5,12,2.61,Baixo
1570,132,15,17,3.7,Baixo
1571,132,18,47,10.22,Alto
1572,132,8,15,3.26,Baixo
1573,132,6,11,2.39,Baixo
1574,132,9,2,0.43,Baixo
1575,132,19,5,1.09,Baixo
1576,132,10,4,0.87,Baixo
1577,132,13,9,1.96,Baixo
1578,132,7,3,0.65,Baixo
1579,132,1,3,0.65,Baixo
1580,132,17,21,4.57,Baixo
1581,133,4,137,42.68,Alto
1582,133,2,11,3.43,Baixo
1583,133,5,9,2.8,Baixo
1584,133,15,13,4.05,Baixo
1585,133,18,2,0.62,Baixo
1586,133,8,17,5.3,Médio
1587,133,6,11,3.43,Baixo
1588,133,19,9,2.8,Baixo
1589,133,10,7,2.18,Baixo
1590,133,13,7,2.18,Baixo
1591,133,7,5,1.56,Baixo
1592,133,1,6,1.87,Baixo
1593,134,4,60,17.8,Alto
1594,134,2,20,5.93,Médio
1595,134,5,7,2.08,Baixo
1596,134,15,98,29.08,Alto
1597,134,18,5,1.48,Baixo
1598,134,8,19,5.64,Médio
1599,134,6,7,2.08,Baixo
1600,134,9,14,4.15,Baixo
1601,134,10,5,1.48,Baixo
1602,134,13,7,2.08,Baixo
1603,134,7,5,1.48,Baixo
1604,134,1,10,2.97,Baixo
1605,134,17,4,1.19,Baixo
1606,135,4,136,34.17,Alto
1607,135,2,19,4.77,Baixo
1608,135,5,3,0.75,Baixo
1609,135,15,18,4.52,Baixo
