localidade_id,nome_localidade,nivel_administrativo,codigo_regiao
171,Castelo Branco,Município,OUTRO
172,Idanha-a-Nova,Município,OUTRO
173,Oleiros,Município,OUTRO
174,Penamacor,Município,OUTRO
175,Proença-a-Nova,Município,OUTRO
176,Vila Velha de Ródão,Município,OUTRO
177,Médio Tejo,Município,OUTRO
178,Abrantes,Município,OUTRO
179,Alcanena,Município,OUTRO
180,Constância,Município,OUTRO
181,Entroncamento,Município,OUTRO
182,Ferreira do Zêzere,Município,OUTRO
183,Mação,Município,OUTRO
184,Ourém,Município,OUTRO
185,Sardoal,Município,OUTRO
186,Sertã,Município,OUTRO
187,Tomar,Município,OUTRO
188,Torres Novas,Município,OUTRO
189,Vila de Rei,Município,OUTRO
190,Vila Nova da Barquinha,Município,OUTRO
191,Beiras e Serra da Estrela,Município,OUTRO
192,Almeida,Município,OUTRO
193,Belmonte,Município,OUTRO
194,Celorico da Beira,Município,OUTRO
195,Covilhã,Município,OUTRO
196,Figueira de Castelo Rodrigo,Município,OUTRO
197,Fornos de Algodres,Município,OUTRO
198,Fundão,Município,OUTRO
199,Gouveia,Município,OUTRO
200,Guarda,Município,OUTRO
201,Manteigas,Município,OUTRO
202,Mêda,Município,OUTRO
203,Pinhel,Município,OUTRO
204,Sabugal,Município,OUTRO
205,Seia,Município,OUTRO
206,Trancoso,Município,OUTRO
207,Área Metropolitana de Lisboa,NUTS II,LVT
208,Área Metropolitana de Lisboa,NUTS II,LVT
209,Alcochete,Município,OUTRO
210,Almada,Município,OUTRO
211,Amadora,Município,OUTRO
212,Barreiro,Município,OUTRO
213,Cascais,Município,OUTRO
214,Lisboa,NUTS I,LVT
215,Loures,Município,OUTRO
216,Mafra,Município,OUTRO
217,Moita,Município,OUTRO
218,Montijo,Município,OUTRO
219,Odivelas,Município,OUTRO
220,Oeiras,Município,OUTRO
221,Palmela,Município,OUTRO
222,Seixal,Município,OUTRO
223,Sesimbra,Município,OUTRO
224,Setúbal,Município,OUTRO
225,Sintra,Município,OUTRO
226,Vila Franca de Xira,Município,OUTRO
227,Alentejo,NUTS I,ALE
228,Alentejo Litoral,NUTS I,ALE
229,Alcácer do Sal,Município,OUTRO
230,Grândola,Município,OUTRO
