populacao_educacao_id,nacionalidade_id,nivel_educacao_id,populacao_total,ano_referencia,faixa_etaria,percentual_nivel
127,13.0,1,2191,2021,15-64 anos,17.94
128,13.0,2,494,2021,15-64 anos,4.04
129,13.0,3,409,2021,15-64 anos,3.35
130,13.0,4,2268,2021,15-64 anos,18.57
131,13.0,5,3171,2021,15-64 anos,25.96
132,13.0,6,5188,2021,15-64 anos,42.47
133,13.0,7,1665,2021,15-64 anos,13.63
134,7.0,1,451,2021,15-64 anos,4.86
135,7.0,2,208,2021,15-64 anos,2.24
136,7.0,3,397,2021,15-64 anos,4.28
137,7.0,4,1102,2021,15-64 anos,11.88
138,7.0,5,1707,2021,15-64 anos,18.41
139,7.0,6,2304,2021,15-64 anos,24.84
140,7.0,7,4812,2021,15-64 anos,51.89
141,1.0,1,498,2021,15-64 anos,6.62
142,1.0,2,39,2021,15-64 anos,0.52
143,1.0,3,215,2021,15-64 anos,2.86
144,1.0,4,905,2021,15-64 anos,12.02
145,1.0,5,1159,2021,15-64 anos,15.4
146,1.0,6,2964,2021,15-64 anos,39.38
147,1.0,7,2905,2021,15-64 anos,38.6
148,17.0,1,436,2021,15-64 anos,5.22
149,17.0,2,770,2021,15-64 anos,9.21
150,17.0,3,1270,2021,15-64 anos,15.19
151,17.0,4,2607,2021,15-64 anos,31.18
152,17.0,5,4647,2021,15-64 anos,55.59
153,17.0,6,2719,2021,15-64 anos,32.52
154,17.0,7,558,2021,15-64 anos,6.67
155,3.0,1,32,2021,15-64 anos,27.35
156,3.0,2,7,2021,15-64 anos,5.98
157,3.0,3,3,2021,15-64 anos,2.56
158,3.0,4,20,2021,15-64 anos,17.09
159,3.0,5,30,2021,15-64 anos,25.64
160,3.0,6,42,2021,15-64 anos,35.9
161,3.0,7,13,2021,15-64 anos,11.11
