NACIONALIDADES,TOTAL,Homens,Mulheres
Afeganistão,73,55,18
África do Sul,1640,788,852
Albânia,85,50,35
Alemanha,16041,8450,7591
Andorra,15,9,6
Angola,24449,10573,13876
Antígua e Barbuda,12,7,5
Apátrida,30,16,14
Arábia Saudita,175,89,86
Argélia,633,373,260
Argentina,677,324,353
Arménia,83,35,48
Austrália,520,279,241
Áustria,1372,718,654
Azerbaijão,65,29,36
Bahamas,1,0,1
Bahrein,12,5,7
Bangladesh,9916,7651,2265
Barbados,5,2,3
Bélgica,5183,2862,2321
Belize,7,3,4
Benin,10,9,1
Bermudas,1,0,1
Bielorrússia,564,182,382
Bolívia,130,44,86
Bósnia e Herzegovina,58,18,40
Botswana,8,4,4
Brasil,183993,81320,102673
Brunei,4,1,3
Bulgária,6745,3295,3450
Burkina Faso,30,22,8
Burundi,11,5,6
Butão,7,3,4
Cabo Verde,36609,17231,19378
Camarões,221,131,90
Cambodja,50,18,32
Canadá,1098,582,516
Cazaquistão,633,292,341
Chade,2,2,0
Chile,339,158,181
China,26074,13053,13021
Chipre,102,60,42
Colômbia,1466,575,891
Comores,1,0,1
Congo,88,35,53
Congo (Rep. Democrática),253,134,119
Coreia do Sul,228,98,130
Costa do Marfim,191,118,73
Costa Rica,78,37,41
Croácia,399,202,197
Cuba,1199,540,659
Desconhecido,29,15,14
Dinamarca,1333,793,540
Djibuti,5,3,2
Dominica,19,14,5
Egipto,549,324,225
El Salvador,50,28,22
Emiratos Árabes Unidos,36,24,12
Equador,414,203,211
Eritreia,213,161,52
Eslováquia,324,101,223
Eslovénia,209,79,130
Espanha,16981,8705,8276
Estados Unidos da América,4768,2361,2407
Estónia,290,91,199
Etiópia,58,23,35
Fidji (Ilhas),3,2,1
Filipinas,1072,292,780
Finlândia,1152,544,608
França,24935,13166,11769
Gabão,30,13,17
Gâmbia,239,193,46
Gana,185,134,51
Geórgia,447,227,220
Granada,3,1,2
Grécia,679,341,338
Guatemala,71,33,38
Guiana,11,6,5
Guiné,1402,948,454
Guiné-Bissau,19680,10413,9267
Guiné Equatorial,44,17,27
Haiti,10,9,1
Honduras,48,16,32
Hong Kong,64,32,32
Hungria,946,340,606
Iémen,40,24,16
Índia,24550,19099,5451
Indonésia,509,381,128
Irão,1281,698,583
Iraque,486,257,229
Irlanda,2630,1516,1114
Islândia,119,66,53
Israel,337,185,152
Itália,28159,16401,11758
Jamaica,14,9,5
Japão,441,171,270
Jordânia,459,247,212
Kosovo,35,15,20
Kuwait,43,24,19
Laos,5,1,4
Lesoto,2,0,2
Letónia,518,153,365
Líbano,607,331,276
Libéria,16,13,3
Líbia,163,84,79
Liechtenstein,10,5,5
Lituânia,891,262,629
Luxemburgo,387,214,173
Macau,2,0,2
Macedónia,50,18,32
Madagáscar,14,4,10
Malásia,107,39,68
Malawi,17,4,13
Maldivas,7,2,5
Mali,75,66,9
Malta,85,46,39
Marrocos,1936,1018,918
Marshall (Ilhas),1,1,0
Maurícias (Ilhas),32,16,16
Mauritânia,24,21,3
México,640,241,399
Moçambique,3678,1486,2192
Moldávia,5183,2378,2805
Mongólia,22,5,17
Montenegro,15,7,8
Myanmar (Birmânia),3,3,0
Namíbia,32,11,21
Nepal,21015,13339,7676
Nicarágua,38,17,21
Níger,2,1,1
Nigéria,758,510,248
Noruega,965,552,413
Nova Zelândia,82,37,45
Oman,8,5,3
Países Baixos,10392,5580,4812
Palestina,86,48,38
Panamá,67,21,46
Paquistão,6381,4523,1858
Paraguai,134,35,99
Peru,375,130,245
Polónia,3061,993,2068
Qatar,11,7,4
Quénia,106,37,69
Quirguistão,36,15,21
Reino Unido,46238,25611,20627
Reino Unido (British Subject),8,4,4
República Centro-Africana,8,4,4
República Checa,541,185,356
República Dominicana,172,62,110
Roménia,30052,16128,13924
Ruanda,29,10,19
Rússia,5103,1851,3252
Samoa,1,0,1
Santa Lúcia,2,0,2
São Cristóvão e Nevis,46,27,19
São Tomé e Príncipe,10706,4794,5912
São Vicente e Granadinas,1,1,0
Senegal,1537,1100,437
Serra Leoa,95,58,37
Sérvia,234,95,139
Seychelles,11,7,4
Singapura,77,23,54
Síria,1108,613,495
Somália,63,43,20
Sri Lanka,102,64,38
Suazilândia,7,2,5
Sudão,139,81,58
Sudão do Sul,53,25,28
Suécia,5181,2843,2338
Suíça,2877,1507,1370
Suriname,3,2,1
Tailândia,1723,1074,649
Taiwan,42,14,28
Tajiquistão,32,12,20
Tanzânia,29,19,10
Timor Leste,291,127,164
Togo,37,24,13
Trindade e Tobago,16,12,4
Tunísia,461,261,200
Turquemenistão,13,6,7
Turquia,1518,757,761
Ucrânia,28629,12886,15743
Uganda,37,18,19
Uruguai,191,96,95
Uzbequistão,1137,663,474
Vanuatu,3,3,0
Venezuela,7741,3134,4607
Vietname,686,330,356
Zâmbia,21,6,15
Zimbabwe,67,30,37
