FAIXA ETARIA,Homens,Mulheres,TOTAL
0-4,618,588,1.206
5-9,1.022,780,1.802
10-14,1.772,1.540,3.312
15-19,2.206,1.958,4.164
20-24,2.203,2.250,4.453
25-29,2.379,2.455,4.834
30-34,3.260,2.988,6.248
35-39,4.925,4.304,9.229
40-44,6.675,5.706,12.381
45-49,8.362,6.689,15.051
50-54,9.320,7.161,16.481
55-59,7.378,6.037,13.415
60-64,4.133,4.110,8.243
65-69,3.059,2.923,5.982
70-74,2.848,2.655,5.503
+75,2.940,2.880,5.820
