FAIXA ETARIA,Homens,Mulheres,Total
0-9,6167,6001,12168
10-17,7103,6528,13631
18-34,60553,43759,104312
35-44,30304,19028,49332
45-54,11954,9061,21015
55-64,5141,5849,10990
≥ 65,3167,3717,6884
