NACIONALIDADES,TOTAL,Homens,Mulheres
Afeganistão,260,178,82
África do Sul,717,354,363
Albânia,22,12,10
Alemanha,4019,2120,1899
Andorra,6,4,2
Angola,6939,3356,3583
Antígua e Barbuda,3,3,0
Apátrida,1,0,1
Arábia Saudita,22,14,8
Argélia,353,256,97
Argentina,320,159,161
Arménia,28,10,18
Austrália,189,106,83
Áustria,383,181,202
Azerbaijão,19,10,9
Bahamas,0,0,0
Bahrein,6,3,3
Bangladesh,6153,5240,913
Barbados,1,1,0
Bélgica,1097,632,465
Belize,1,1,0
Benin,10,7,3
Bermudas,2,0,2
Bielorrússia,178,82,96
Bolívia,23,10,13
Bósnia e Herzegovina,10,5,5
Botswana,7,3,4
Brasil,48313,23308,25005
Brunei,0,0,0
Bulgária,278,158,120
Burkina Faso,6,5,1
Burundi,0,0,0
Butão,3,2,1
Cabo Verde,4729,2322,2407
Camarões,61,40,21
Cambodja,27,16,11
Canadá,442,239,203
Cazaquistão,106,58,48
Chade,0,0,0
Chile,200,96,104
China,1115,539,576
Chipre,65,38,27
Colômbia,583,322,261
Comores,1,1,0
Congo,13,6,7
Congo (Rep. Democrática),28,11,17
Coreia do Sul,62,28,34
Costa do Marfim,28,17,11
Costa Rica,17,9,8
Croácia,128,54,74
Cuba,323,196,127
Desconhecido,5,2,3
Dinamarca,330,207,123
Djibuti,0,0,0
Dominica,8,8,0
Egipto,169,115,54
El Salvador,26,17,9
Emiratos Árabes Unidos,1,0,1
Equador,168,73,95
Eritreia,1,1,0
Eslováquia,155,64,91
Eslovénia,71,31,40
Espanha,3599,1923,1676
Estados Unidos da América,3288,1666,1622
Estónia,96,49,47
Etiópia,14,10,4
Fidji (Ilhas),0,0,0
Filipinas,199,56,143
Finlândia,234,107,127
França,4691,2541,2150
Gabão,6,3,3
Gâmbia,206,195,11
Gana,57,44,13
Geórgia,71,46,25
Granada,4,2,2
Grécia,321,218,103
Guatemala,18,9,9
Guiana,0,0,0
Guiné,180,117,63
Guiné Bissau,4235,2660,1575
Guiné Equatorial,6,2,4
Haiti,9,5,4
Honduras,8,5,3
Hong Kong,73,38,35
Hungria,301,155,146
Iémen,7,4,3
Índia,7414,5891,1523
Indonésia,229,200,29
Irão,552,280,272
Iraque,55,30,25
Irlanda,1121,654,467
Islândia,42,25,17
Israel,197,99,98
Itália,6977,3862,3115
Jamaica,2,1,1
Japão,97,44,53
Jordânia,59,35,24
Kosovo,2,1,1
Kuwait,11,4,7
Laos,1,0,1
Lesoto,0,0,0
Letónia,237,109,128
Líbano,240,157,83
Libéria,3,1,2
Líbia,11,7,4
Liechtenstein,1,1,0
Lituânia,193,74,119
Luxemburgo,184,102,82
Macau,1,0,1
Macedónia,17,8,9
Madagáscar,2,0,2
Malásia,25,10,15
Malawi,1,1,0
Maldivas,1,0,1
Mali,14,11,3
Malta,47,26,21
Marrocos,651,446,205
Maurícias (Ilhas),8,6,2
Mauritânia,4,2,2
México,210,84,126
Moçambique,1191,589,602
Moldávia,501,272,229
Mongólia,4,0,4
Montenegro,6,5,1
Myanmar (Birmânia),4,1,3
Namíbia,8,4,4
Nepal,3858,2327,1531
Nicarágua,14,8,6
Níger,2,1,1
Nigéria,257,186,71
Noruega,200,119,81
Nova Zelândia,46,30,16
Oman,1,1,0
Países Baixos,2208,1231,977
Palestina,9,6,3
Panamá,15,8,7
Paquistão,3997,3155,842
Paraguai,31,15,16
Peru,198,115,83
Polónia,1101,482,619
Qatar,4,3,1
Quénia,28,12,16
Quirguistão,9,3,6
Reino Unido,2994,1724,1270
Reino Unido (British Subject),38,19,19
República Centro-Africana,0,0,0
República Checa,242,117,125
República Dominicana,35,16,19
Roménia,1168,604,564
Ruanda,7,3,4
Rússia,1454,759,695
Samoa,1,1,0
Santa Lúcia,0,0,0
São Cristóvão e Nevis,5,3,2
São Tomé e Príncipe,2776,1348,1428
São Vicente e Granadinas,0,0,0
Senegal,492,414,78
Serra Leoa,48,40,8
Sérvia,54,25,29
Seychelles,3,0,3
Singapura,26,12,14
Síria,128,67,61
Somália,12,6,6
Sri Lanka,28,17,11
Suazilândia,3,2,1
Sudão,21,13,8
Sudão do Sul,5,1,4
Suécia,807,422,385
Suíça,590,303,287
Suriname,2,0,2
Tailândia,171,77,94
Taiwan,19,8,11
Tajiquistão,4,3,1
Tanzânia,13,8,5
Timor Leste,101,44,57
Togo,12,9,3
Trindade e Tobago,4,3,1
Tunísia,247,143,104
Turquemenistão,1,0,1
Turquia,361,203,158
Ucrânia,1125,507,618
Uganda,11,9,2
Uruguai,39,19,20
Uzbequistão,140,102,38
Vanuatu,1,1,0
Venezuela,1562,659,903
Vietname,152,94,58
Zâmbia,1,1,0
Zimbabwe,23,14,9
