FAIXA ETARIA,Homens,Mulheres,TOTAL
0-4,5650,5343,10993
5-9,14181,13616,27797
10-14,16741,15574,32315
15-19,18002,17034,35036
20-24,29098,26773,55871
25-29,51995,40315,92310
30-34,58183,46200,104383
35-39,50831,44085,94916
40-44,41376,38628,80004
45-49,29763,29714,59477
50-54,22632,23429,46061
55-59,17692,19659,37351
60-64,15679,16860,32539
65-69,14672,14336,29008
70-74,11384,10225,21609
=75,11644,10601,22245
