NACIONALIDADES,TOTAL,Homens,Mulheres
Afeganistão,775,440,335
África do Sul,2162,1069,1093
Albânia,99,56,43
Alemanha,20500,10786,9714
Andorra,19,10,9
Angola,31761,14145,17616
Antígua e Barbuda,7,5,2
Apátrida,20,11,9
Arábia Saudita,59,37,22
Argélia,1015,670,345
Argentina,1079,531,548
Arménia,98,33,65
Austrália,673,380,293
Áustria,1643,845,798
Azerbaijão,68,30,38
Bahamas,4,2,2
Bahrein,13,7,6
Bangladesh,16468,13467,3001
Barbados,4,3,1
Bélgica,6088,3396,2692
Belize,4,2,2
Benin,23,19,4
Bermudas,4,1,3
Bielorrússia,731,273,458
Bolívia,154,53,101
Bósnia e Herzegovina,63,18,45
Botswana,18,7,11
Brasil,239744,110746,128998
Brunei,3,1,2
Bulgária,5139,2529,2610
Burkina Faso,27,21,6
Burundi,5,2,3
Butão,10,5,5
Cabo Verde,36748,17920,18828
Camarões,306,190,116
Cambodja,48,23,25
Canadá,1624,856,768
Cazaquistão,760,374,386
Chade,3,2,1
Chile,586,284,302
China,22000,11138,10862
Chipre,175,103,72
Colômbia,2135,1013,1122
Comores,3,2,1
Congo,83,29,54
Congo (Rep. Democrática),279,137,142
Coreia do Sul,271,112,159
Costa do Marfim,193,128,65
Costa Rica,101,42,59
Croácia,464,202,262
Cuba,1483,746,737
Desconhecido,23,14,9
Dinamarca,1583,928,655
Djibuti,4,4,0
Dominica,15,11,4
Egipto,636,398,238
El Salvador,79,47,32
Emiratos Árabes Unidos,10,6,4
Equador,615,298,317
Eritreia,178,132,46
Eslováquia,491,167,324
Eslovénia,290,121,169
Espanha,19508,9981,9527
Estados Unidos da América,9794,4844,4950
Estónia,373,142,231
Etiópia,68,36,32
Fidji (Ilhas),1,1,0
Filipinas,1208,309,899
Finlândia,1210,575,635
França,27512,14548,12964
Gabão,33,15,18
Gâmbia,464,413,51
Gana,251,189,62
Geórgia,490,269,221
Granada,5,3,2
Grécia,979,557,422
Guatemala,94,47,47
Guiana,8,4,4
Guiné,1182,817,365
Guiné Bissau,23737,13223,10514
Guiné Equatorial,45,18,27
Haiti,22,16,6
Honduras,64,29,35
Hong Kong,227,103,124
Hungria,1230,502,728
Iémen,34,23,11
Índia,35416,28651,6765
Indonésia,892,726,166
Irão,1797,963,834
Iraque,555,302,253
Irlanda,4159,2432,1727
Islândia,165,92,73
Israel,569,301,268
Itália,34039,19285,14754
Jamaica,17,9,8
Japão,568,236,332
Jordânia,313,174,139
Kosovo,27,14,13
Kuwait,25,12,13
Laos,2,0,2
Lesoto,2,0,2
Letónia,749,274,475
Líbano,604,364,240
Libéria,19,14,5
Líbia,127,63,64
Liechtenstein,9,5,4
Lituânia,1006,314,692
Luxemburgo,605,334,271
Macau,3,0,3
Macedónia,66,26,40
Madagáscar,15,3,12
Malásia,120,41,79
Malawi,19,7,12
Maldivas,8,1,7
Mali,82,73,9
Malta,146,78,68
Marrocos,2575,1549,1026
Maurícias (Ilhas),37,22,15
Mauritânia,29,25,4
México,826,331,495
Moçambique,4785,2119,2666
Moldávia,5243,2500,2743
Mongólia,25,5,20
Montenegro,21,14,7
Myanmar (Birmânia),8,4,4
Namíbia,41,14,27
Nepal,23839,15022,8817
Nicarágua,61,27,34
Níger,9,6,3
Nigéria,1050,732,318
Noruega,1086,658,428
Nova Zelândia,150,83,67
Oman,4,3,1
Países Baixos,12066,6461,5605
Palestina,66,37,29
Panamá,91,34,57
Paquistão,10828,8122,2706
Paraguai,167,52,115
Peru,617,276,341
Polónia,4326,1580,2746
Qatar,7,5,2
Quénia,111,42,69
Quirguistão,36,14,22
Reino Unido,45218,25113,20105
Reino Unido (British Subject),47,23,24
República Centro-Africana,8,4,4
República Checa,736,302,434
República Dominicana,181,58,123
Roménia,23393,12296,11097
Ruanda,31,12,19
Rússia,6075,2498,3577
Samoa,2,1,1
Santa Lúcia,3,1,2
São Cristóvão e Nevis,56,36,20
São Tomé e Príncipe,13077,6095,6982
São Vicente e Granadinas,1,1,0
Senegal,2014,1552,462
Serra Leoa,152,109,43
Sérvia,311,136,175
Seychelles,5,2,3
Singapura,109,41,68
Síria,1193,653,540
Somália,70,49,21
Sri Lanka,129,80,49
Suazilândia,13,7,6
Sudão,177,102,75
Sudão do Sul,70,32,38
Suécia,5653,3084,2569
Suíça,3501,1804,1697
Suriname,5,2,3
Tailândia,1977,1195,782
Taiwan,58,20,38
Tajiquistão,39,17,22
Tanzânia,48,28,20
Timor Leste,361,145,216
Togo,67,48,19
Trindade e Tobago,19,13,6
Tunísia,731,414,317
Turquemenistão,12,4,8
Turquia,1367,708,659
Ucrânia,25445,11626,13819
Uganda,46,26,20
Uruguai,255,136,119
Uzbequistão,1297,808,489
Vanuatu,3,3,0
Venezuela,8936,3720,5216
Vietname,473,244,229
Zâmbia,29,13,16
Zimbabwe,89,40,49
