FAIXA ETARIA,Homens,Mulheres,Total
0 - 4,4 897,4 710,9 607
5 - 9,14 775,13 792,28 567
10 - 14,19 398,18 041,37 439
15 - 19,23 393,22 206,45 599
20 - 24,43 970,41 571,85 541
25 - 29,77 571,60 826,138 397
30 - 34,84 221,64 309,148 530
35 - 39,75 268,60 073,135 341
40 - 44,58 604,51 342,109 946
45 - 49,40 737,38 899,79 636
50 - 54,28 788,29 822,58 610
55 - 59,21 836,24 525,46 361
60 - 64,18 256,20 186,38 442
65 - 69,16 315,16 431,32 746
70 - 74,12 584,11 589,24 173
+75,13 352,12 319,25 671
