FAIXA ETARIA,Homens,Mulheres,TOTAL
0-4,2.940,2.880,4.028
5-9,2.848,2.655,4.603
10-14,3.059,2.923,5.219
15-19,4.133,4.110,7.273
20-24,7.378,6.037,13.191
25-29,9.320,7.161,17.419
30-34,8.362,6.689,15.905
35-39,6.675,5.706,12.748
40-44,4.925,4.304,9.456
45-49,3.260,2.988,6.327
50-54,2.379,2.455,4.350
55-59,2.203,2.250,3.497
60-64,2.206,1.958,2.891
65-69,1.772,1.540,2.200
70-74,1.022,780,1.278
+75,618,588,926
