País,Total de Residentes,Reagrupamento Familiar (%),Atividade Profissional (%),Estudo (%),CRs (%),Outros Motivos (%)
Brasil,39406,12255,17614,4256,3665,1616
Índia,7403,1051,5841,96,155,259
Angola,4569,1750,813,1124,384,498
Cabo Verde,3886,824,789,1648,369,256
Guiné-Bissau,3746,629,933,1315,427,438
Nepal,2759,737,1893,3,61,63
Estados Unidos da América,2402,96,562,60,245,1436
Bangladesh,2132,429,1554,47,64,41
Paquistão,2006,632,1103,58,114,98
São Tomé e Príncipe,1979,447,422,744,162,202
