FAIXA ETARIA,Homens,Mulheres,TOTAL
0-4,6.658,6.351,13.009
5-9,12.549,11.974,24.523
10-14,14.676,13.482,28.158
15-19,16.558,15.745,32.303
20-24,27.598,24.234,51.832
25-29,44.565,36.121,80.686
30-34,47.984,41.354,89.338
35-39,42.078,39.831,81.909
40-44,34.761,35.104,69.865
45-49,26.135,27.335,53.470
50-54,20.397,21.646,42.043
55-59,16.425,18.345,34.770
60-64,14.689,15.658,30.347
65-69,14.121,13.198,27.319
70-74,10394,9104,19498
=75,10.274,9.543,19.817
