Índice;;;Figura 10;Figura 10;Figura 12;Figura 13;Figura 14;Figura 19;Figura 19;Figura 23;Figura 24;Figura 25;Figura 26
Nível territorial;Código territorial;Designação;Repartição da população residente (%);Repartição dos alojamentos familiares clássicos (%);Proporção de alojamentos familiares clássicos vagos (%);Proporção de alojamentos familiares clássicos de residência habitual sobrelotados (%);Proporção de alojamentos familiares clássicos em edifícios clássicos com necessidades de reparação profundas (%);Taxa de atração de população residente proveniente de outro município (%);Taxa de repulsão de população residente proveniente de outro município (%);Índice de polarização do emprego (N.º);Diferença do índice de polarização do emprego (N.º);Taxa de atração de empregados (%);Taxa de repulsão de empregados (%)
;;;2021;2021;2021;2021;2021;2021;2021;2021;2021-2011;2021;2021
Município;0401;Alfândega da Fé;0,0;0,1;16,0;5,4;1,5;5,7;6,2;0,9;-0,11;14,3;17,2
Município;0402;Bragança;0,3;0,4;9,3;8,1;1,0;4,9;5,1;1,0;-0,04;12,7;10,0
Município;0403;Carrazeda de Ansiães;0,1;0,1;7,8;8,3;3,0;6,8;7,2;0,9;-0,07;19,9;18,4
Município;0404;Freixo de Espada à Cinta;0,0;0,1;7,9;5,9;0,9;7,9;7,6;1,0;-0,02;17,0;11,6
Município;0405;Macedo de Cavaleiros;0,1;0,2;12,8;7,3;1,9;6,0;5,8;0,9;-0,07;15,2;17,6
Município;0406;Miranda do Douro;0,1;0,1;14,1;5,2;1,4;7,2;7,0;0,9;-0,09;14,6;14,4
Município;0407;Mirandela;0,2;0,3;12,1;7,5;1,8;5,9;5,8;0,9;-0,07;15,9;15,2
Município;0408;Mogadouro;0,1;0,1;13,4;5,8;2,1;6,7;6,2;0,9;-0,10;12,2;16,9
Município;0409;Torre de Moncorvo;0,1;0,1;14,2;5,5;0,4;7,3;7,3;0,9;-0,17;17,3;16,3
Município;0410;Vila Flor;0,1;0,1;17,0;8,0;1,0;7,7;7,0;0,9;-0,16;22,6;21,6
Município;0411;Vimioso;0,0;0,1;11,3;5,2;2,4;8,3;8,2;0,9;-0,03;19,5;22,3
Município;0412;Vinhais;0,1;0,1;5,8;5,1;2,3;6,9;6,9;0,8;-0,06;15,7;21,7
Município;0501;Belmonte;0,1;0,1;16,8;7,7;0,2;7,3;6,2;0,9;-0,14;32,6;32,1
Município;0502;Castelo Branco;0,5;0,7;13,0;6,4;0,7;4,0;3,9;0,9;-0,05;11,2;11,9
Município;0503;Covilhã;0,5;0,6;15,4;7,5;1,1;4,9;5,4;0,9;-0,02;16,3;18,1
Município;0504;Fundão;0,3;0,4;16,1;6,7;1,6;6,9;6,2;0,9;-0,01;24,0;21,7
Município;0505;Idanha-a-Nova;0,1;0,2;13,4;7,7;0,5;9,3;8,6;1,0;-0,05;26,1;19,3
Município;0506;Oleiros;0,1;0,1;9,0;4,5;1,1;8,3;6,0;0,9;-0,07;23,9;22,6
Município;0507;Penamacor;0,1;0,1;15,9;9,1;0,7;10,6;8,5;0,9;-0,08;24,0;23,9
Município;0508;Proença-a-Nova;0,1;0,1;8,3;5,7;0,8;7,2;6,3;0,8;-0,07;19,1;28,1
Município;0509;Sertã;0,1;0,2;11,3;6,7;0,9;7,7;6,6;0,8;-0,12;15,7;19,8
Município;0510;Vila de Rei;0,0;0,1;6,7;6,1;0,6;10,4;6,8;0,9;-0,08;27,9;26,0
Município;0511;Vila Velha de Ródão;0,0;0,1;11,7;5,3;0,3;9,7;5,5;1,4;0,21;46,9;20,2
Município;0601;Arganil;0,1;0,2;11,7;6,7;2,1;8,4;7,3;0,9;-0,14;25,0;25,1
Município;0602;Cantanhede;0,3;0,4;13,4;7,3;1,6;7,5;7,3;0,9;-0,04;37,0;35,8
Município;0603;Coimbra;1,4;1,4;19,4;8,8;1,2;5,3;6,3;1,1;-0,08;32,2;16,8
Município;0604;Condeixa-a-Nova;0,2;0,1;16,1;5,8;1,5;8,5;8,1;0,5;-0,05;38,3;59,8
Município;0605;Figueira da Foz;0,6;0,7;13,3;9,4;1,5;6,5;5,9;0,9;-0,05;21,4;20,4
Município;0606;Góis;0,0;0,1;10,9;5,9;2,8;7,9;6,8;0,8;-0,19;22,6;28,1
Município;0607;Lousã;0,2;0,2;16,8;6,9;1,1;7,2;6,7;0,7;-0,05;25,5;38,0
Município;0608;Mira;0,1;0,2;14,5;7,1;1,7;7,6;6,7;0,7;-0,09;26,9;38,3
Município;0609;Miranda do Corvo;0,1;0,1;21,7;6,8;1,7;6,5;5,8;0,5;-0,04;29,2;54,2
Município;0610;Montemor-o-Velho;0,2;0,2;16,4;7,6;2,1;8,3;7,4;0,5;-0,05;30,6;55,1
Município;0611;Oliveira do Hospital;0,2;0,2;13,5;7,5;1,1;7,6;7,1;0,9;-0,08;21,5;25,1
Município;0612;Pampilhosa da Serra;0,0;0,1;10,3;2,9;1,3;9,3;8,1;0,9;-0,08;29,9;21,7
Município;0613;Penacova;0,1;0,1;17,0;5,0;0,8;7,4;7,6;0,5;-0,06;28,4;50,5
Município;0614;Penela;0,1;0,1;25,9;6,1;4,7;8,9;7,7;0,9;0,04;38,9;34,1
Município;0615;Soure;0,2;0,2;20,1;5,7;4,0;8,3;7,6;0,6;-0,03;28,0;52,0
Município;0616;Tábua;0,1;0,2;11,8;8,0;2,1;8,6;7,2;1,0;0,01;34,4;26,9
Município;0617;Vila Nova de Poiares;0,1;0,1;12,6;7,9;1,1;9,0;7,0;0,8;-0,05;32,5;35,0
Município;0701;Alandroal;0,1;0,1;12,1;8,7;0,3;6,6;5,8;0,9;0,13;33,8;32,0
Município;0702;Arraiolos;0,1;0,1;14,4;7,2;0,9;10,4;9,2;0,7;-0,07;24,3;39,7
Município;0703;Borba;0,1;0,1;18,3;7,0;0,5;6,7;6,1;0,8;-0,06;31,6;36,4
Município;0704;Estremoz;0,1;0,2;21,6;8,7;0,9;7,4;6,8;0,9;-0,07;26,7;25,3
Município;0705;Évora;0,5;0,5;14,5;10,4;0,8;4,9;5,4;1,1;-0,04;23,8;11,6
Município;0706;Montemor-o-Novo;0,2;0,2;16,7;8,7;0,8;7,1;5,9;0,9;-0,05;19,4;25,3
Município;0707;Mora;0,0;0,1;20,9;6,4;0,1;9,5;8,2;0,9;-0,05;20,7;24,8
Município;0708;Mourão;0,0;0,0;12,4;6,6;0,2;9,0;8,6;1,0;0,02;25,8;23,0
Município;0709;Portel;0,1;0,1;16,5;9,1;0,4;8,8;7,6;0,7;-0,23;20,6;36,6
Município;0710;Redondo;0,1;0,1;16,8;8,7;0,4;7,2;6,9;0,8;-0,10;19,3;31,9
Município;0711;Reguengos de Monsaraz;0,1;0,1;12,7;8,3;0,5;6,2;5,8;0,9;-0,06;19,1;24,7
Município;0712;Vendas Novas;0,1;0,1;15,7;9,8;1,3;6,8;5,7;0,9;-0,10;27,6;31,6
Município;0713;Viana do Alentejo;0,1;0,1;21,5;8,0;0,3;10,8;9,0;0,7;-0,09;24,6;41,7
Município;0714;Vila Viçosa;0,1;0,1;13,2;7,7;0,4;7,7;7,3;0,9;-0,10;29,5;33,7
Município;0801;Albufeira;0,4;0,8;13,3;25,3;1,1;6,9;8,8;1,1;-0,11;32,5;17,1
Município;0802;Alcoutim;0,0;0,1;15,8;6,7;0,2;6,8;5,4;1,0;-0,02;23,9;16,8
Município;0803;Aljezur;0,1;0,1;12,7;12,2;1,2;10,2;9,1;0,9;-0,05;21,0;20,0
Município;0804;Castro Marim;0,1;0,1;9,7;11,3;0,3;10,9;9,9;0,8;-0,03;42,0;46,8
Município;0805;Faro;0,7;0,7;12,6;14,8;1,4;6,4;7,3;1,1;-0,12;33,0;21,2
