Índice;;;Figura 10;Figura 10;Figura 12;Figura 13;Figura 14;Figura 19;Figura 19;Figura 23;Figura 24;Figura 25;Figura 26
Nível territorial;Código territorial;Designação;Repartição da população residente (%);Repartição dos alojamentos familiares clássicos (%);Proporção de alojamentos familiares clássicos vagos (%);Proporção de alojamentos familiares clássicos de residência habitual sobrelotados (%);Proporção de alojamentos familiares clássicos em edifícios clássicos com necessidades de reparação profundas (%);Taxa de atração de população residente proveniente de outro município (%);Taxa de repulsão de população residente proveniente de outro município (%);Índice de polarização do emprego (N.º);Diferença do índice de polarização do emprego (N.º);Taxa de atração de empregados (%);Taxa de repulsão de empregados (%)
;;;2021;2021;2021;2021;2021;2021;2021;2021;2021-2011;2021;2021
Município;1505;Grândola;0,1;0,2;13,5;12,1;0,6;5,5;4,9;1,0;-0,02;23,7;19,2
Município;1506;Moita;0,6;0,6;12,1;15,8;1,8;8,8;7,4;0,4;-0,06;31,4;63,1
Município;1507;Montijo;0,5;0,5;13,1;12,4;0,9;8,9;8,0;0,7;-0,06;39,0;48,2
Município;1508;Palmela;0,7;0,6;10,9;13,3;1,2;11,6;9,0;1,0;-0,03;54,8;48,0
Município;1509;Santiago do Cacém;0,3;0,3;13,4;10,2;0,6;6,0;5,3;0,8;-0,02;19,0;32,6
Município;1510;Seixal;1,6;1,4;8,0;13,4;1,1;8,4;7,4;0,5;-0,03;28,0;57,5
Município;1511;Sesimbra;0,5;0,6;7,0;12,9;1,3;9,0;7,3;0,5;-0,06;22,4;50,6
Município;1512;Setúbal;1,2;1,1;10,2;12,8;1,3;7,5;7,2;0,9;-0,06;29,8;32,3
Município;1513;Sines;0,1;0,1;12,1;14,1;0,7;6,3;5,8;1,5;-0,40;44,3;12,3
Município;1601;Arcos de Valdevez;0,2;0,3;10,6;10,4;1,6;7,2;6,7;1,0;0,00;33,5;20,8
Município;1602;Caminha;0,2;0,2;8,3;9,8;0,7;7,0;6,3;0,7;-0,13;20,9;35,7
Município;1603;Melgaço;0,1;0,1;10,4;4,8;0,6;7,4;8,1;0,9;-0,05;20,2;19,7
Município;1604;Monção;0,2;0,2;15,7;6,8;1,0;6,7;6,0;0,8;-0,05;16,5;20,0
Município;1605;Paredes de Coura;0,1;0,1;14,6;9,8;1,3;7,1;6,6;0,8;-0,03;19,9;28,6
Município;1606;Ponte da Barca;0,1;0,1;12,1;10,2;2,1;6,6;6,6;0,7;-0,13;27,6;40,1
Município;1607;Ponte de Lima;0,4;0,4;8,2;10,2;1,2;6,0;5,7;0,8;-0,07;25,0;29,5
Município;1608;Valença;0,1;0,1;14,3;11,6;2,4;7,9;7,0;0,9;-0,18;33,4;32,3
Município;1609;Viana do Castelo;0,8;0,8;10,4;9,6;1,3;4,6;4,2;1,0;-0,02;22,8;16,7
Município;1610;Vila Nova de Cerveira;0,1;0,1;11,3;10,2;1,1;8,3;8,0;1,3;0,09;49,7;25,5
Município;1701;Alijó;0,1;0,2;13,3;8,4;1,4;8,0;7,6;0,9;-0,09;23,0;20,4
Município;1702;Boticas;0,1;0,1;10,2;7,7;1,7;7,3;7,6;1,0;0,00;22,4;17,5
Município;1703;Chaves;0,4;0,5;12,9;7,7;1,3;4,4;4,1;0,9;-0,06;10,1;13,0
Município;1704;Mesão Frio;0,0;0,0;15,6;9,8;1,4;8,4;8,4;0,8;-0,04;35,8;32,8
Município;1705;Mondim de Basto;0,1;0,1;7,6;8,8;6,4;7,7;7,3;0,8;-0,10;23,3;27,8
Município;1706;Montalegre;0,1;0,2;10,3;9,9;1,0;6,9;6,6;0,9;-0,13;16,2;16,5
Município;1707;Murça;0,1;0,1;8,7;6,8;1,1;7,7;7,6;0,9;-0,07;23,6;21,8
Município;1708;Peso da Régua;0,1;0,2;14,3;8,6;2,0;6,1;6,6;0,9;-0,10;31,7;28,9
Município;1709;Ribeira de Pena;0,1;0,1;7,9;7,8;2,8;5,5;6,0;1,2;0,23;37,7;17,0
Município;1710;Sabrosa;0,1;0,1;6,0;7,9;1,4;9,6;8,3;0,9;-0,01;33,3;30,8
Município;1711;Santa Marta de Penaguião;0,1;0,1;10,6;7,9;1,6;8,2;8,2;0,7;-0,09;25,8;37,5
Município;1712;Valpaços;0,1;0,2;10,6;6,3;1,9;6,4;5,9;0,9;-0,03;16,2;16,4
Município;1713;Vila Pouca de Aguiar;0,1;0,2;9,5;6,5;1,4;6,7;6,1;0,9;-0,03;22,1;20,2
Município;1714;Vila Real;0,5;0,5;9,9;7,9;1,3;4,7;4,9;1,0;-0,08;20,7;15,8
Município;1801;Armamar;0,1;0,1;17,6;8,1;1,1;9,4;8,0;0,9;-0,02;28,2;22,4
Município;1802;Carregal do Sal;0,1;0,1;17,4;7,0;2,9;7,2;6,9;1,0;0,05;35,2;29,1
Município;1803;Castro Daire;0,1;0,2;12,4;8,4;0,7;6,9;6,8;0,8;-0,10;19,5;21,6
Município;1804;Cinfães;0,2;0,2;11,7;12,5;1,7;7,6;7,9;0,6;-0,09;21,1;30,3
Município;1805;Lamego;0,2;0,3;12,9;8,7;2,6;6,0;5,9;0,9;-0,05;23,1;24,9
Município;1806;Mangualde;0,2;0,2;17,8;6,5;2,2;6,9;6,5;1,0;-0,08;37,2;29,3
Município;1807;Moimenta da Beira;0,1;0,1;13,2;7,1;1,6;7,8;7,2;0,9;-0,05;24,2;21,2
Município;1808;Mortágua;0,1;0,1;18,1;4,9;0,8;8,2;7,8;1,0;0,08;35,6;23,5
Município;1809;Nelas;0,1;0,2;17,5;6,7;1,1;7,0;6,2;1,0;0,04;36,7;33,2
Município;1810;Oliveira de Frades;0,1;0,1;11,9;9,0;2,0;8,5;8,5;1,0;-0,20;39,5;26,4
Município;1811;Penalva do Castelo;0,1;0,1;17,5;6,6;1,5;7,8;7,2;0,7;-0,03;28,1;42,2
Município;1812;Penedono;0,0;0,1;12,8;7,3;4,8;8,3;6,8;0,8;-0,07;26,9;24,5
Município;1813;Resende;0,1;0,1;12,4;11,2;0,9;7,4;7,1;0,7;-0,12;19,2;27,5
Município;1814;Santa Comba Dão;0,1;0,1;14,6;6,4;0,8;8,4;7,0;0,7;-0,09;27,0;41,6
Município;1815;São João da Pesqueira;0,1;0,1;16,9;8,8;4,2;7,8;7,5;1,0;-0,01;19,8;15,5
Município;1816;São Pedro do Sul;0,2;0,2;14,6;7,9;2,3;7,3;7,0;0,8;-0,08;19,3;29,1
Município;1817;Sátão;0,1;0,2;18,5;5,7;1,2;7,8;7,2;0,7;-0,07;21,0;36,8
Município;1818;Sernancelhe;0,1;0,1;13,6;6,2;2,2;8,1;6,6;0,9;-0,01;27,3;24,9
Município;1819;Tabuaço;0,1;0,1;11,6;6,7;1,6;8,5;7,0;0,9;0,02;25,5;25,4
Município;1820;Tarouca;0,1;0,1;12,7;7,3;1,7;6,9;6,4;0,7;-0,04;22,6;32,1
Município;1821;Tondela;0,3;0,3;14,3;7,1;1,2;7,4;6,9;1,0;0,03;28,8;24,5
Município;1822;Vila Nova de Paiva;0,1;0,1;13,9;6,0;0,5;8,6;7,9;0,8;-0,05;31,3;28,0
Município;1823;Viseu;1,0;1,0;12,1;8,2;1,6;4,7;4,7;0,9;-0,06;18,2;17,4
Município;1824;Vouzela;0,1;0,1;16,1;7,6;2,8;9,2;7,6;0,8;-0,12;41,3;42,5
Município;3101;Calheta;0,1;0,1;18,7;14,7;2,9;7,9;7,6;0,8;0,01;19,8;23,9
Município;3102;Câmara de Lobos;0,3;0,2;12,1;30,1;2,1;6,0;6,3;0,6;-0,08;29,4;50,8
Município;3103;Funchal;1,0;0,9;13,2;25,1;2,1;4,9;4,7;1,3;-0,05;34,3;11,8
Município;3104;Machico;0,2;0,2;13,3;19,6;1,0;7,7;7,5;0,7;-0,05;29,0;38,3
Município;3105;Ponta do Sol;0,1;0,1;14,6;22,1;2,4;6,6;6,8;0,8;-0,10;25,0;33,9
Município;3106;Porto Moniz;0,0;0,0;19,2;13,6;1,6;10,1;11,0;0,9;-0,14;24,8;24,7
Município;3107;Ribeira Brava;0,1;0,1;15,4;21,3;2,6;7,2;7,5;0,7;-0,05;33,6;42,6
Município;3108;Santa Cruz;0,4;0,3;11,3;23,6;1,0;6,7;6,2;0,6;-0,05;29,8;55,8
Município;3109;Santana;0,1;0,1;16,0;11,7;0,8;8,7;9,4;0,8;-0,11;22,4;28,2
Município;3110;São Vicente;0,1;0,1;14,8;12,7;1,0;7,8;7,5;0,9;-0,09;24,8;21,0
Município;3201;Porto Santo;0,1;0,1;19,1;18,7;2,5;8,3;7,5;1,0;-0,03;8,5;7,2
Município;4101;Vila do Porto;0,1;0,1;14,7;18,3;1,9;7,1;6,1;1,0;-0,05;6,6;5,1
Município;4201;Lagoa;0,1;0,1;8,8;25,3;0,8;6,4;5,7;0,7;-0,03;34,2;49,1
Município;4202;Nordeste;0,0;0,0;11,8;16,1;0,8;9,7;9,2;0,9;-0,10;15,4;19,8
Município;4203;Ponta Delgada;0,7;0,5;11,8;18,6;0,9;5,3;5,3;1,1;-0,04;23,8;12,1
Município;4204;Povoação;0,1;0,1;12,8;19,9;0,6;7,6;7,6;1,0;0,00;16,1;15,0
Município;4205;Ribeira Grande;0,3;0,2;12,6;25,8;0,7;5,9;5,9;0,8;-0,08;23,6;34,8
Município;4206;Vila Franca do Campo;0,1;0,1;11,1;23,7;0,3;5,8;5,9;0,7;-0,14;16,5;31,4
Município;4301;Angra do Heroísmo;0,3;0,3;11,5;12,8;1,0;6,0;5,8;1,0;-0,07;17,7;11,5
Município;4302;Vila da Praia da Vitória;0,2;0,2;14,6;12,2;1,1;7,2;6,6;0,8;-0,03;20,5;28,6
Município;4401;Santa Cruz da Graciosa;0,0;0,1;12,1;10,6;1,1;8,5;8,4;0,9;-0,07;8,3;7,8
Município;4501;Calheta;0,0;0,0;10,9;13,3;1,5;10,0;9,1;1,0;-0,13;20,8;13,7
Município;4502;Velas;0,1;0,1;17,8;12,5;0,6;7,2;7,5;0,9;-0,10;10,5;13,8
Município;4601;Lajes do Pico;0,0;0,1;11,6;11,1;0,8;8,1;7,4;0,8;-0,10;13,5;21,6
Município;4602;Madalena;0,1;0,1;12,0;14,1;1,6;7,9;6,4;1,0;-0,08;17,2;13,8
Município;4603;São Roque do Pico;0,0;0,0;11,9;13,3;1,8;9,8;9,3;1,0;-0,05;25,9;19,6
Município;4701;Horta;0,1;0,1;11,4;13,3;0,4;7,5;6,7;1,0;-0,05;7,2;6,8
Município;4801;Lajes das Flores;0,0;0,0;18,9;13,8;3,3;5,2;5,0;0,9;-0,04;12,2;17,7
Município;4802;Santa Cruz das Flores;0,0;0,0;21,6;16,2;2,3;9,7;8,9;1,0;-0,04;17,7;11,3
Município;4901;Corvo;0,0;0,0;23,0;24,7;1,9;10,4;7,0;1,0;-0,04;9,3;5,5
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
