Índice;;;Figura 5 e 6;Figura 7 e 8
Nível territorial;Código territorial;Designação;Densidade populacional (N.º/ km²) ;Taxa de variação da população residente (%)
;;;2021;2011-2021
Freguesia;160526;União das freguesias de Paredes de Coura e Resende;344,35;-4,19
Freguesia;160521;Vascões;35,05;-2,24
Município;1606;Ponte da Barca;60,64;-8,43
Freguesia;160601;Azias;35,90;-19,63
Freguesia;160602;Boivães;67,52;-8,65
Freguesia;160603;Bravães;143,88;-4,61
Freguesia;160604;Britelo;29,38;-21,86
Freguesia;160606;Cuide de Vila Verde;81,41;-9,59
Freguesia;160611;Lavradas;122,19;-5,60
Freguesia;160612;Lindoso;8,10;-12,65
Freguesia;160613;Nogueira;187,94;-8,78
Freguesia;160614;Oleiros;131,09;-4,08
Freguesia;160619;Sampriz;46,80;-10,23
Freguesia;160626;União das freguesias de Crasto, Ruivos e Grovelas;80,50;-12,93
Freguesia;160627;União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;12,88;-18,63
Freguesia;160628;União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;474,21;-4,12
Freguesia;160629;União das freguesias de Touvedo (São Lourenço e Salvador);53,69;-13,26
Freguesia;160630;União das freguesias de Vila Chã (São João Baptista e Santiago);32,22;-13,32
Freguesia;160623;Vade (São Pedro);90,57;-9,09
Freguesia;160624;Vade (São Tomé);187,90;2,79
Município;1607;Ponte de Lima;128,53;-5,37
Freguesia;160701;Anais;127,42;-4,29
Freguesia;160752;Arca e Ponte de Lima;978,80;4,50
Freguesia;160704;Arcozelo;294,87;-4,61
Freguesia;160753;Ardegão, Freixo e Mato;144,68;-11,57
Freguesia;160754;Associação de freguesias do Vale do Neiva;87,93;-16,00
Freguesia;160755;Bárrio e Cepões;80,95;-14,66
Freguesia;160707;Beiral do Lima;62,50;-10,39
Freguesia;160708;Bertiandos;158,59;-13,04
Freguesia;160709;Boalhosa;53,42;-28,22
Freguesia;160710;Brandara;162,79;-4,98
Freguesia;160756;Cabaços e Fojo Lobal;88,24;-13,99
Freguesia;160757;Cabração e Moreira do Lima;32,88;-8,92
Freguesia;160713;Calheiros;109,41;-6,16
Freguesia;160714;Calvelo;117,30;-9,93
Freguesia;160716;Correlhã;321,82;-5,07
Freguesia;160717;Estorãos;25,17;-12,07
Freguesia;160718;Facha;90,79;-9,09
Freguesia;160719;Feitosa;693,31;36,83
Freguesia;160721;Fontão;225,67;-1,00
Freguesia;160758;Fornelos e Queijada;143,66;-2,25
Freguesia;160724;Friastelas;109,69;-4,44
Freguesia;160726;Gandra;306,03;-3,88
Freguesia;160727;Gemieira;143,68;0,67
Freguesia;160728;Gondufe;77,11;-6,44
Freguesia;160729;Labruja;27,30;-12,76
Freguesia;160759;Labrujó, Rendufe e Vilar do Monte;26,72;-24,46
Freguesia;160760;Navió e Vitorino dos Piães;113,53;-12,67
Freguesia;160734;Poiares;99,06;-4,90
Freguesia;160744;Rebordões (Santa Maria);137,06;-8,24
Freguesia;160747;Rebordões (Souto);136,44;-10,29
Freguesia;160737;Refóios do Lima;120,24;-8,81
Freguesia;160739;Ribeira;209,06;-2,94
Freguesia;160740;Sá;122,50;-18,33
Freguesia;160742;Santa Comba;394,00;-10,59
Freguesia;160743;Santa Cruz do Lima;179,82;-16,46
Freguesia;160703;São Pedro d'Arcos;40,00;-5,94
Freguesia;160745;Seara;191,18;-2,80
Freguesia;160746;Serdedelo;72,10;-7,54
Freguesia;160750;Vitorino das Donas;219,02;-6,85
Município;1608;Valença;116,30;-3,57
Freguesia;160802;Boivão;23,21;-22,59
Freguesia;160803;Cerdal;82,53;-8,45
Freguesia;160805;Fontoura;74,70;-8,79
Freguesia;160806;Friestas;123,61;-8,72
Freguesia;160808;Ganfei;127,46;-6,87
Freguesia;160812;São Pedro da Torre;159,56;-1,89
Freguesia;160817;União das freguesias de Gandra e Taião;68,90;-5,44
Freguesia;160818;União das freguesias de Gondomil e Sanfins;23,59;-9,91
Freguesia;160819;União das freguesias de São Julião e Silva;73,35;-3,69
Freguesia;160820;União das freguesias de Valença, Cristelo Covo e Arão;554,06;2,04
Freguesia;160816;Verdoejo;135,46;-5,76
Município;1609;Viana do Castelo;268,88;-3,32
Freguesia;160901;Afife;116,58;-6,92
Freguesia;160902;Alvarães;270,25;-6,14
Freguesia;160903;Amonde;36,96;-21,16
Freguesia;160904;Anha;240,11;-6,54
Freguesia;160905;Areosa;332,96;-3,19
Freguesia;160908;Carreço;122,32;-1,25
Freguesia;160910;Castelo do Neiva;391,79;-7,20
Freguesia;160940;Chafé;439,11;21,33
Freguesia;160911;Darque;888,12;2,37
Freguesia;160914;Freixieiro de Soutelo;39,47;-9,00
Freguesia;160915;Lanheses;158,02;-7,78
Freguesia;160920;Montaria;20,06;-18,03
Freguesia;160922;Mujães;290,20;-8,26
Freguesia;160925;Outeiro;56,29;-14,10
Freguesia;160926;Perre;211,76;-6,22
Freguesia;160928;Santa Marta de Portuzelo;526,45;2,52
Freguesia;160923;São Romão de Neiva;149,29;-14,45
Freguesia;160941;União das freguesias de Barroselas e Carvoeiro;251,66;-6,56
Freguesia;160942;União das freguesias de Cardielos e Serreleis;279,95;-7,01
