Índice;;;Figura 5 e 6;Figura 7 e 8
Nível territorial;Código territorial;Designação;Densidade populacional (N.º/ km²) ;Taxa de variação da população residente (%)
;;;2021;2011-2021
Freguesia;030878;União das freguesias de Atães e Rendufe;213,32;-1,94
Freguesia;030879;União das freguesias de Briteiros Santo Estêvão e Donim;340,74;-3,11
Freguesia;030880;União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;179,66;-6,23
Freguesia;030881;União das freguesias de Candoso São Tiago e Mascotelos;986,53;0,37
Freguesia;030882;União das freguesias de Conde e Gandarela;676,92;0,49
Freguesia;030883;União das freguesias de Leitões, Oleiros e Figueiredo;160,02;-1,98
Freguesia;030884;União das freguesias de Oliveira, São Paio e São Sebastião;5.051,61;-3,77
Freguesia;030885;União das freguesias de Prazins Santo Tirso e Corvite;422,44;3,36
Freguesia;030886;União das freguesias de Sande São Lourenço e Balazar;245,20;3,06
Freguesia;030887;União das freguesias de Sande Vila Nova e Sande São Clemente;456,14;-3,70
Freguesia;030888;União das freguesias de Selho São Lourenço e Gominhães;547,23;-0,96
Freguesia;030889;União das freguesias de Serzedo e Calvos;502,89;-0,92
Freguesia;030890;União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;147,30;-2,53
Freguesia;030891;União das freguesias de Tabuadelo e São Faustino;478,22;-5,41
Freguesia;030871;Urgezes;1.666,77;4,91
Município;1705;Mondim de Basto;37,25;-14,45
Freguesia;170501;Atei;46,35;-15,38
Freguesia;170502;Bilhó;16,15;-21,43
Freguesia;170505;São Cristóvão de Mondim de Basto;186,04;-9,23
Freguesia;170509;União das freguesias de Campanhó e Paradança;19,98;-16,78
Freguesia;170510;União das freguesias de Ermelo e Pardelhas;8,05;-18,71
Freguesia;170508;Vilar de Ferreiros;31,84;-21,83
Município;0309;Póvoa de Lanhoso;161,70;-0,65
Freguesia;030906;Covelas;139,52;-2,40
Freguesia;030908;Ferreiros;93,18;-1,44
Freguesia;030912;Galegos;190,14;2,95
Freguesia;030913;Garfe;180,70;-1,70
Freguesia;030914;Geraz do Minho;112,40;-0,37
Freguesia;030915;Lanhoso;126,40;6,39
Freguesia;030917;Monsul;217,38;-7,40
Freguesia;030919;Póvoa de Lanhoso (Nossa Senhora do Amparo);986,49;11,39
Freguesia;030921;Rendufinho;77,66;-11,68
Freguesia;030922;Santo Emilião;385,51;-10,91
Freguesia;030923;São João de Rei;66,85;-8,98
Freguesia;030924;Serzedelo;73,36;2,64
Freguesia;030925;Sobradelo da Goma;68,68;-12,47
Freguesia;030926;Taíde;252,32;4,34
Freguesia;030927;Travassos;130,39;-13,32
Freguesia;030930;União das freguesias de Águas Santas e Moure;150,64;-10,62
Freguesia;030931;União das freguesias de Calvos e Frades;85,09;-1,46
Freguesia;030932;União das freguesias de Campos e Louredo;274,90;-6,33
Freguesia;030933;União das freguesias de Esperança e Brunhais;74,06;-6,75
Freguesia;030934;União das freguesias de Fonte Arcada e Oliveira;147,29;-2,57
Freguesia;030935;União das freguesias de Verim, Friande e Ajude;64,92;-11,01
Freguesia;030929;Vilela;130,13;-3,09
Município;0311;Vieira do Minho;55,23;-8,05
Freguesia;031105;Cantelães;64,12;-10,63
Freguesia;031107;Eira Vedra;110,20;-12,25
Freguesia;031108;Guilhofrei;79,96;-6,56
Freguesia;031109;Louredo;51,77;-9,63
Freguesia;031110;Mosteiro;63,59;-11,11
Freguesia;031111;Parada de Bouro;51,88;-14,71
Freguesia;031112;Pinheiro;36,22;-16,78
Freguesia;031113;Rossas;46,50;-12,25
Freguesia;031115;Salamonde;40,98;-11,37
Freguesia;031118;Tabuaças;91,63;-3,48
Freguesia;031122;União das freguesias de Anissó e Soutelo;42,33;-11,99
Freguesia;031123;União das freguesias de Anjos e Vilar do Chão;22,61;-4,07
Freguesia;031124;União das freguesias de Caniçada e Soengas;57,51;-14,26
Freguesia;031125;União das freguesias de Ruivães e Campos;17,56;-16,25
Freguesia;031126;União das freguesias de Ventosa e Cova;66,32;-12,44
Freguesia;031120;Vieira do Minho;329,90;5,94
Município;0312;Vila Nova de Famalicão;662,37;-0,22
Freguesia;031204;Bairro;954,03;-11,17
Freguesia;031206;Brufe;921,29;2,82
Freguesia;031210;Castelões;590,08;3,07
Freguesia;031212;Cruz;399,76;-5,01
Freguesia;031213;Delães;1.519,08;1,61
Freguesia;031215;Fradelos;231,85;-0,49
Freguesia;031216;Gavião;961,39;3,66
Freguesia;031219;Joane;1.085,52;-1,77
Freguesia;031221;Landim;629,27;0,14
Freguesia;031223;Louro;444,18;-1,69
Freguesia;031224;Lousado;669,66;-4,26
Freguesia;031225;Mogege;652,96;-3,55
Freguesia;031227;Nine;695,62;1,51
Freguesia;031239;Oliveira (Santa Maria);725,44;-4,12
Freguesia;031242;Oliveira (São Mateus);1.197,03;-10,91
Freguesia;031230;Pedome;759,32;-5,80
Freguesia;031232;Pousada de Saramagos;1.027,83;-2,46
Freguesia;031233;Requião;430,86;-5,30
Freguesia;031234;Riba de Ave;1.156,16;-6,83
Freguesia;031235;Ribeirão;878,86;2,64
Freguesia;031250;União das freguesias de Antas e Abade de Vermoim;1.506,43;11,31
Freguesia;031251;União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;400,34;-0,45
Freguesia;031252;União das freguesias de Avidos e Lagoa;543,25;-4,37
Freguesia;031253;União das freguesias de Carreira e Bente;656,98;-8,70
Freguesia;031254;União das freguesias de Esmeriz e Cabeçudos;498,76;-1,85
Freguesia;031255;União das freguesias de Gondifelos, Cavalões e Outiz;307,06;4,93
Freguesia;031256;União das freguesias de Lemenhe, Mouquim e Jesufrei;319,53;-2,36
Freguesia;031257;União das freguesias de Ruivães e Novais;616,92;-6,81
Freguesia;031258;União das freguesias de Seide;531,23;-1,82
Freguesia;031259;União das freguesias de Vale (São Cosme), Telhado e Portela;382,76;-2,98
Freguesia;031260;União das freguesias de Vila Nova de Famalicão e Calendário;2.340,94;3,89
Freguesia;031241;Vale (São Martinho);565,56;-2,16
Freguesia;031247;Vermoim;625,69;0,58
Freguesia;031249;Vilarinho das Cambas;176,58;8,71
Município;0314;Vizela;967,84;0,67
Freguesia;031404;Infias;582,32;-1,58
Freguesia;031401;Santa Eulália;955,50;-4,09
Freguesia;031408;União das freguesias de Caldas de Vizela (São Miguel e São João);1.441,67;4,13
Freguesia;031409;União das freguesias de Tagilde e Vizela (São Paio);640,00;-0,12
Freguesia;031406;Vizela (Santo Adrião);752,16;-0,70
NUTS 3;11A;Área Metropolitana do Porto;850,55;-1,32
Município;0104;Arouca;64,25;-5,43
Freguesia;010402;Alvarenga;27,26;-13,57
Freguesia;010407;Chave;116,41;1,36
Freguesia;010409;Escariz;117,41;-5,00
Freguesia;010411;Fermedo;113,50;-5,90
Freguesia;010413;Mansores;78,13;1,76
Freguesia;010414;Moldes;40,20;-10,42
Freguesia;010415;Rossas;134,20;-6,75
Freguesia;010416;Santa Eulália;91,97;-5,90
Freguesia;010417;São Miguel do Mato;32,16;-8,03
Freguesia;010418;Tropeço;60,87;-5,57
Freguesia;010421;União das freguesias de Arouca e Burgo;335,96;-1,12
Freguesia;010422;União das freguesias de Cabreiros e Albergaria da Serra;5,92;-19,91
Freguesia;010423;União das freguesias de Canelas e Espiunca;29,78;-10,06
Freguesia;010424;União das freguesias de Covelo de Paivó e Janarde;3,85;-22,97
Freguesia;010419;Urrô;83,41;-12,54
Freguesia;010420;Várzea;298,32;-1,11
Município;0107;Espinho;1.474,73;-2,34
Freguesia;010702;Espinho;5.893,79;6,10
Freguesia;010704;Paramos;532,71;-11,04
Freguesia;010705;Silvalde;1.120,73;-8,47
Freguesia;010706;União das freguesias de Anta e Guetim;1.429,15;-3,31
Município;1304;Gondomar;1.245,03;-2,24
Freguesia;130412;Baguim do Monte (Rio Tinto);2.634,80;2,01
Freguesia;130405;Lomba;93,72;-14,68
Freguesia;130408;Rio Tinto;5.411,33;0,73
Freguesia;130413;União das freguesias de Fânzeres e São Pedro da Cova;1.719,17;-4,63
Freguesia;130414;União das freguesias de Foz do Sousa e Covelo;232,61;-8,66
Freguesia;130415;União das freguesias de Gondomar (São Cosme), Valbom e Jovim;2.033,53;-2,42
Freguesia;130416;União das freguesias de Melres e Medas;190,40;-9,02
Município;1306;Maia;1.627,41;-0,24
Freguesia;130601;Águas Santas;3.247,80;-3,05
Freguesia;130618;Castêlo da Maia;934,49;1,04
Freguesia;130619;Cidade da Maia;3.890,02;1,00
Freguesia;130603;Folgosa;356,58;-2,67
Freguesia;130608;Milheirós;1.322,78;-2,04
Freguesia;130609;Moreira;1.510,15;1,57
Freguesia;130620;Nogueira e Silva Escura;945,82;5,01
Freguesia;130617;Pedrouços;4.552,76;-4,82
Freguesia;130613;São Pedro Fins;385,56;-1,14
Freguesia;130616;Vila Nova da Telha;1.010,77;2,00
Município;1308;Matosinhos;2.764,01;-1,66
Freguesia;130811;União das freguesias de Custóias, Leça do Balio e Guifões;2.337,85;-3,66
Freguesia;130812;União das freguesias de Matosinhos e Leça da Palmeira;4.032,40;-0,91
Freguesia;130813;União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;1.308,87;0,81
Freguesia;130814;União das freguesias de São Mamede de Infesta e Senhora da Hora;5.675,63;-2,04
Município;0113;Oliveira de Azeméis;410,77;-3,55
Freguesia;011301;Carregosa;293,23;1,37
Freguesia;011302;Cesar;565,75;-2,97
Freguesia;011303;Fajões;356,65;-6,19
Freguesia;011304;Loureiro;212,38;3,03
Freguesia;011305;Macieira de Sarnes;479,59;-3,58
Freguesia;011310;Ossela;107,21;-13,13
Freguesia;011315;São Martinho da Gândara;228,04;-6,60
Freguesia;011318;São Roque;712,48;-3,92
Freguesia;011320;União das freguesias de Nogueira do Cravo e Pindelo;405,90;-5,57
Freguesia;011321;União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;796,65;-0,46
Freguesia;011322;União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;205,59;-6,55
Freguesia;011319;Vila de Cucujães;956,05;-6,94
Município;1310;Paredes;538,18;-2,88
Freguesia;131001;Aguiar de Sousa;70,69;-3,00
Freguesia;131002;Astromil;552,85;-1,75
Freguesia;131003;Baltar;636,98;-2,03
Freguesia;131004;Beire;607,55;-1,42
Freguesia;131008;Cete;660,47;-0,71
Freguesia;131009;Cristelo;871,78;-6,87
Freguesia;131010;Duas Igrejas;965,34;-5,93
Freguesia;131011;Gandra;592,35;-0,11
Freguesia;131013;Lordelo;932,99;-9,17
Freguesia;131014;Louredo;478,89;-8,59
Freguesia;131017;Parada de Todeia;513,47;-3,03
Freguesia;131025;Paredes;957,04;3,79
Freguesia;131018;Rebordosa;789,59;-6,70
Freguesia;131019;Recarei;306,78;-3,28
Freguesia;131020;Sobreira;187,70;-4,14
Freguesia;131021;Sobrosa;531,28;-5,45
Freguesia;131022;Vandoma;450,39;-2,41
Freguesia;131024;Vilela;1.012,61;-8,16
Município;1312;Porto;5.594,98;-2,44
Freguesia;131202;Bonfim;7.412,26;-5,30
Freguesia;131203;Campanhã;3.689,80;-9,16
Freguesia;131210;Paranhos;6.399,30;3,58
Freguesia;131211;Ramalde;6.663,29;2,20
Freguesia;131216;União das freguesias de Aldoar, Foz do Douro e Nevogilde;4.638,76;0,79
Freguesia;131217;União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;6.893,19;-7,44
Freguesia;131218;União das freguesias de Lordelo do Ouro e Massarelos;4.993,02;-3,95
Município;1313;Póvoa de Varzim;781,50;1,34
Freguesia;131305;Balazar;213,78;-2,40
Freguesia;131307;Estela;198,18;-0,87
Freguesia;131308;Laundos;227,08;-5,74
Freguesia;131311;Rates;177,84;-1,32
Freguesia;131315;União das freguesias da Póvoa de Varzim, Beiriz e Argivai;2.812,30;3,41
Freguesia;131314;União das freguesias de Aguçadoura e Navais;728,24;-6,20
Freguesia;131313;União das freguesias de Aver-o-Mar, Amorim e Terroso;856,55;1,90
Município;0109;Santa Maria da Feira;633,13;-1,89
Freguesia;010901;Argoncilhe;996,47;-2,84
Freguesia;010902;Arrifana;1.193,01;-3,66
Freguesia;010904;Escapães;770,93;0,18
Freguesia;010907;Fiães;1.112,23;-11,20
Freguesia;010908;Fornos;1.093,31;1,06
Freguesia;010913;Lourosa;1.387,00;-7,33
Freguesia;010914;Milheirós de Poiares;456,67;-5,20
Freguesia;010916;Mozelos;1.255,94;2,17
Freguesia;010917;Nogueira da Regedoura;1.122,16;-1,16
Freguesia;010919;Paços de Brandão;1.341,29;-1,89
Freguesia;010921;Rio Meão;720,51;-2,39
Freguesia;010922;Romariz;247,20;-9,39
Freguesia;010924;Sanguedo;760,18;-3,50
Freguesia;010925;Santa Maria de Lamas;1.265,87;-6,43
Freguesia;010926;São João de Ver;717,37;4,23
Freguesia;010918;São Paio de Oleiros;936,32;-10,03
Freguesia;010932;União das freguesias de Caldas de São Jorge e Pigeiros;346,62;-5,36
Freguesia;010933;União das freguesias de Canedo, Vale e Vila Maior;203,25;-6,06
Freguesia;010934;União das freguesias de Lobão, Gião, Louredo e Guisande;409,12;-2,16
Freguesia;010935;União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;847,09;8,76
Freguesia;010936;União de freguesias de São Miguel de Souto e Mosteirô;469,64;-3,76
Município;1314;Santo Tirso;495,82;-5,34
Freguesia;131401;Agrela;212,59;-6,19
Freguesia;131402;Água Longa;181,90;6,07
Freguesia;131405;Aves;1.300,49;-6,05
Freguesia;131413;Monte Córdova;229,05;-2,78
Freguesia;131430;Negrelos (São Tomé);613,56;-6,87
Freguesia;131416;Rebordões;743,47;-7,07
Freguesia;131418;Reguenga;285,40;-10,59
Freguesia;131419;Roriz;536,14;-9,74
Freguesia;131433;União das freguesias de Areias, Sequeiró, Lama e Palmeira;618,35;-6,27
Freguesia;131434;Vila Nova do Campo;657,81;-7,26
Freguesia;131435;União das freguesias de Carreira e Refojos de Riba de Ave;214,96;-1,54
Freguesia;131436;União das freguesias de Lamelas e Guimarei;126,27;-5,60
Freguesia;131437;União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães;816,42;-4,40
Freguesia;131432;Vilarinho;680,65;-5,31
Município;0116;São João da Madeira;2.788,79;1,98
Freguesia;011601;São João da Madeira;2.788,79;1,98
Município;1318;Trofa;535,39;-1,16
Freguesia;131806;Covelas;96,12;-6,40
Freguesia;131808;Muro;363,96;-4,37
Freguesia;131809;União das freguesias de Alvarelhos e Guidões;395,11;-0,85
Freguesia;131810;União das freguesias de Bougado (São Martinho e Santiago);745,00;-0,98
Freguesia;131811;União das freguesias de Coronado (São Romão e São Mamede);829,90;-0,16
Município;0119;Vale de Cambra;144,35;-6,98
Freguesia;011901;Arões;28,99;-19,88
Freguesia;011903;Cepelos;61,12;-11,88
Freguesia;011905;Junqueira;46,23;-21,84
Freguesia;011906;Macieira de Cambra;243,21;-7,52
Freguesia;011907;Roge;87,50;-12,10
Freguesia;011902;São Pedro de Castelões;323,74;-4,87
Freguesia;011910;União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;402,41;0,06
Município;1315;Valongo;1.260,11;0,87
Freguesia;131501;Alfena;930,28;-5,08
Freguesia;131503;Ermesinde;4.958,88;0,72
Freguesia;131506;União das freguesias de Campo e Sobrado;485,11;-4,07
Freguesia;131505;Valongo;1.278,75;8,18
Município;1316;Vila do Conde;542,38;1,62
Freguesia;131602;Árvore;848,93;7,18
Freguesia;131603;Aveleda;330,81;-6,85
Freguesia;131604;Azurara;1.095,83;2,69
Freguesia;131607;Fajozes;274,66;14,88
Freguesia;131610;Gião;293,11;-5,52
Freguesia;131611;Guilhabreu;339,01;-7,09
Freguesia;131612;Junqueira;280,67;-5,05
Freguesia;131613;Labruge;591,72;6,91
Freguesia;131614;Macieira da Maia;420,07;7,32
Freguesia;131616;Mindelo;694,77;14,24
Freguesia;131617;Modivas;430,24;-2,33
Freguesia;131631;União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada;121,77;-6,53
Freguesia;131632;União das freguesias de Fornelo e Vairão;222,21;-8,78
Freguesia;131633;União das freguesias de Malta e Canidelo;406,03;-3,06
Freguesia;131634;União das freguesias de Retorta e Tougues;312,06;-0,39
Freguesia;131635;União das freguesias de Rio Mau e Arcos;168,34;-1,42
Freguesia;131636;União das freguesias de Touguinha e Touguinhó;433,42;-1,18
Freguesia;131637;União das freguesias de Vilar e Mosteiró;327,15;-6,66
Freguesia;131627;Vila Chã;707,69;10,02
Freguesia;131628;Vila do Conde;4.325,66;2,42
Freguesia;131630;Vilar de Pinheiro;677,78;0,99
Município;1317;Vila Nova de Gaia;1.803,32;0,50
Freguesia;131701;Arcozelo;1.781,65;5,52
Freguesia;131702;Avintes;1.228,57;-5,75
Freguesia;131703;Canelas;2.017,10;3,41
Freguesia;131704;Canidelo;3.141,55;1,03
Freguesia;131709;Madalena;2.249,68;5,09
Freguesia;131712;Oliveira do Douro;2.999,34;1,04
Freguesia;131717;São Félix da Marinha;1.709,96;6,72
Freguesia;131725;União das freguesias de Grijó e Sermonde;925,17;0,67
Freguesia;131726;União das freguesias de Gulpilhares e Valadares;2.103,86;1,38
Freguesia;131727;União das freguesias de Mafamude e Vilar do Paraíso;4.994,71;0,81
Freguesia;131728;União das freguesias de Pedroso e Seixezelo;968,68;-0,98
Freguesia;131729;União das freguesias de Sandim, Olival, Lever e Crestuma;467,10;-7,06
Freguesia;131730;União das freguesias de Santa Marinha e São Pedro da Afurada;4.925,04;0,94
Freguesia;131731;União das freguesias de Serzedo e Perosinho;1.148,29;-3,54
Freguesia;131723;Vilar de Andorinho;2.546,39;-0,84
NUTS 3;11B;Alto Tâmega;28,83;-10,51
Município;1702;Boticas;15,53;-13,04
Freguesia;170217;Alturas do Barroso e Cerdedo;6,87;-28,49
Freguesia;170218;Ardãos e Bobadela;12,47;-20,03
Freguesia;170203;Beça;26,05;-7,71
Freguesia;170219;Boticas e Granja;67,93;1,99
Freguesia;170220;Codessoso, Curros e Fiães do Tâmega;7,31;-13,76
Freguesia;170208;Covas do Barroso;6,46;-27,10
Freguesia;170210;Dornelas;7,49;-18,93
Freguesia;170213;Pinho;14,66;-18,20
Freguesia;170215;Sapiãos;18,82;-18,65
Freguesia;170221;Vilar e Viveiro;12,40;-21,36
Município;1703;Chaves;63,58;-8,86
Freguesia;170301;Águas Frias;21,09;-18,63
Freguesia;170302;Anelhe;35,55;-6,72
Freguesia;170305;Bustelo;48,02;-13,49
Freguesia;170309;Cimo de Vila da Castanheira;20,58;-29,44
Freguesia;170310;Curalha;53,20;-11,30
Freguesia;170312;Ervededo;29,44;-7,89
Freguesia;170313;Faiões;102,72;-4,81
Freguesia;170314;Lama de Arcos;21,26;-7,91
Freguesia;170316;Mairos;23,22;-21,22
Freguesia;170317;Moreiras;23,40;-20,88
Freguesia;170318;Nogueira da Montanha;27,65;-12,85
Freguesia;170320;Oura;35,49;-14,45
Freguesia;170321;Outeiro Seco;55,82;-9,49
Freguesia;170322;Paradela;26,28;-17,56
Freguesia;170353;Planalto de Monforte (União das freguesias de Oucidres e Bobadela);13,70;-13,04
Freguesia;170324;Redondelo;24,32;-13,66
Freguesia;170327;Sanfins;11,31;-15,25
Freguesia;170329;Santa Leocádia;19,39;-21,60
Freguesia;170350;Santa Maria Maior;2.026,29;-5,08
Freguesia;170330;Santo António de Monforte;33,70;-12,56
Freguesia;170331;Santo Estêvão;62,63;-10,54
Freguesia;170333;São Pedro de Agostém;49,55;-6,77
Freguesia;170334;São Vicente;5,92;-18,50
Freguesia;170340;Tronco;23,65;-7,34
Freguesia;170354;União das freguesias da Madalena e Samaiões;172,69;-9,48
Freguesia;170355;União das freguesias das Eiras, São Julião de Montenegro e Cela;37,30;-12,37
Freguesia;170356;União das freguesias de Calvão e Soutelinho da Raia;15,20;-14,31
Freguesia;170357;União das freguesias de Loivos e Póvoa de Agrações;30,83;-20,70
Freguesia;170358;União das freguesias de Santa Cruz/Trindade e Sanjurge;252,69;-1,43
Freguesia;170359;União das freguesias de Soutelo e Seara Velha;25,44;-10,49
Freguesia;170360;União das freguesias de Travancas e Roriz;20,77;-19,79
Freguesia;170341;Vale de Anta;159,63;5,31
Freguesia;170361;Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras);70,33;-13,21
Freguesia;170343;Vila Verde da Raia;83,42;-17,93
Freguesia;170344;Vilar de Nantes;260,71;-8,93
Freguesia;170345;Vilarelho da Raia;25,73;-16,85
Freguesia;170347;Vilas Boas;23,91;-15,90
Freguesia;170349;Vilela do Tâmega;36,73;-13,69
Freguesia;170348;Vilela Seca;16,99;-13,77
Município;1706;Montalegre;11,50;-12,11
Freguesia;170601;Cabril;6,69;-7,41
Freguesia;170603;Cervos;6,89;-16,24
Freguesia;170604;Chã;13,75;-6,28
Freguesia;170607;Covelo do Gerês;15,43;-14,43
Freguesia;170609;Ferral;19,18;-26,20
Freguesia;170612;Gralhas;8,62;-10,58
Freguesia;170616;Morgade;9,22;-14,47
Freguesia;170618;Negrões;6,40;-25,42
Freguesia;170619;Outeiro;2,73;-8,33
Freguesia;170623;Pitões das Junias;4,51;-6,21
Freguesia;170625;Reigoso;7,54;-22,16
Freguesia;170626;Salto;16,08;-11,62
Freguesia;170627;Santo André;7,86;-31,65
Freguesia;170629;Sarraquinhos;8,96;2,04
Freguesia;170631;Solveira;12,16;-2,60
Freguesia;170632;Tourém;6,46;-27,15
Freguesia;170636;União das freguesias de Cambeses do Rio, Donões e Mourilhe;6,03;-11,65
Freguesia;170637;União das freguesias de Meixedo e Padornelos;7,41;-20,42
Freguesia;170638;União das freguesias de Montalegre e Padroso;55,12;-7,85
Freguesia;170639;União das freguesias de Paradela, Contim e Fiães;7,94;-20,45
Freguesia;170640;União das freguesias de Sezelhe e Covelães;6,95;-17,33
Freguesia;170641;União das freguesias de Venda Nova e Pondras;17,98;-12,47
Freguesia;170642;União das freguesias de Viade de Baixo e Fervidelas;14,39;-8,79
Freguesia;170643;União das freguesias de Vilar de Perdizes e Meixide;12,50;-15,51
Freguesia;170635;Vila da Ponte;15,65;-6,18
Município;1709;Ribeira de Pena;27,06;-10,09
Freguesia;170901;Alvadia;4,89;-15,82
Freguesia;170902;Canedo;7,61;-29,49
Freguesia;170906;Santa Marinha;15,89;-1,25
Freguesia;170908;União das freguesias de Cerva e Limões;38,06;-12,62
Freguesia;170909;União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega;49,35;-6,36
Município;1712;Valpaços;26,79;-12,92
Freguesia;171201;Água Revés e Crasto;14,48;-19,59
Freguesia;171203;Algeriz;24,01;-11,93
Freguesia;171205;Bouçoães;11,66;-27,68
Freguesia;171206;Canaveses;13,21;-28,27
Freguesia;171232;Carrazedo de Montenegro e Curros;32,97;-7,70
Freguesia;171209;Ervões;24,44;-16,04
Freguesia;171211;Fornos do Pinhal;30,77;0,00
Freguesia;171212;Friões;15,87;-27,79
Freguesia;171233;Lebução, Fiães e Nozelos;18,44;-30,10
Freguesia;171215;Padrela e Tazem;11,98;-22,84
Freguesia;171216;Possacos;27,35;-19,73
Freguesia;171217;Rio Torto;9,25;-21,55
Freguesia;171219;Santa Maria de Emeres;18,77;-23,40
Freguesia;171220;Santa Valha;11,64;-23,61
Freguesia;171221;Santiago da Ribeira de Alhariz;23,28;-16,58
Freguesia;171222;São João da Corveira;28,72;-15,27
Freguesia;171223;São Pedro de Veiga de Lila;12,54;-20,07
Freguesia;171224;Serapicos;27,34;-20,33
Freguesia;171234;Sonim e Barreiros;17,65;-30,22
Freguesia;171235;Tinhela e Alvarelhos;9,25;-21,62
Freguesia;171227;Vales;8,49;-25,68
Freguesia;171236;Valpaços e Sanfins;119,03;-1,94
Freguesia;171229;Vassal;30,06;-14,13
Freguesia;171230;Veiga de Lila;16,23;-10,73
Freguesia;171231;Vilarandelo;47,67;-2,34
Município;1713;Vila Pouca de Aguiar;27,02;-10,43
Freguesia;171302;Alfarela de Jales;25,96;-10,97
Freguesia;171319;Alvão;14,58;-11,54
Freguesia;171303;Bornes de Aguiar;42,55;-6,03
Freguesia;171304;Bragado;17,07;-18,01
Freguesia;171305;Capeludos;16,95;-17,50
Freguesia;171317;Sabroso de Aguiar;62,49;-19,88
Freguesia;171310;Soutelo de Aguiar;34,66;-5,64
Freguesia;171311;Telões;29,37;-10,57
Freguesia;171312;Tresminas;6,10;-17,83
Freguesia;171320;União das freguesias de Pensalvos e Parada de Monteiros;6,11;-17,71
Freguesia;171313;Valoura;19,79;-21,54
Freguesia;171314;Vila Pouca de Aguiar;136,10;-5,60
Freguesia;171315;Vreia de Bornes;31,98;-13,04
Freguesia;171316;Vreia de Jales;18,02;-11,89
NUTS 3;11C;Tâmega e Sousa;223,12;-5,61
Município;1301;Amarante;172,96;-7,37
Freguesia;130103;Ansiães;18,98;-17,17
Freguesia;130107;Candemil;48,79;-23,99
Freguesia;130112;Fregim;263,26;-3,74
Freguesia;130115;Fridão;84,37;-23,06
Freguesia;130117;Gondar;159,34;-8,90
Freguesia;130134;Gouveia (São Simão);46,20;-8,85
Freguesia;130118;Jazente;154,33;-4,61
Freguesia;130119;Lomba;225,90;3,40
Freguesia;130120;Louredo;175,00;-1,25
Freguesia;130121;Lufrei;247,13;-10,30
Freguesia;130123;Mancelos;233,22;-9,15
Freguesia;130126;Padronelo;304,03;-14,71
Freguesia;130128;Rebordelo;17,05;-26,85
Freguesia;130129;Salvador do Monte;119,52;-16,14
Freguesia;130135;Telões;272,22;-6,79
Freguesia;130136;Travanca;231,53;-11,68
Freguesia;130141;União das freguesias de Aboadela, Sanche e Várzea;47,52;-13,61
Freguesia;130142;União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão;760,29;-2,33
Freguesia;130143;União das freguesias de Bustelo, Carneiro e Carvalho de Rei;35,30;-18,84
Freguesia;130144;União das freguesias de Figueiró (Santiago e Santa Cristina);448,09;-5,07
Freguesia;130145;União das freguesias de Freixo de Cima e de Baixo;391,27;-5,27
Freguesia;130146;União das freguesias de Olo e Canadelo;22,25;-11,79
Freguesia;130147;Vila Meã;415,78;-8,97
Freguesia;130148;União das freguesias de Vila Garcia, Aboim e Chapa;137,67;-2,18
Freguesia;130138;Vila Caiz;334,39;-5,85
Freguesia;130139;Vila Chã do Marão;122,95;-12,23
Município;1302;Baião;100,48;-14,56
Freguesia;130204;Frende;200,00;-11,59
Freguesia;130205;Gestaçô;71,24;-19,79
Freguesia;130206;Gove;151,08;-11,75
Freguesia;130207;Grilo;79,46;-20,00
Freguesia;130208;Loivos do Monte;34,40;-19,30
Freguesia;130215;Santa Marinha do Zêzere;230,96;-11,47
Freguesia;130221;União das freguesias de Ancede e Ribadouro;162,53;-17,70
Freguesia;130222;União das freguesias de Baião (Santa Leocádia) e Mesquinhata;85,30;-14,50
Freguesia;130223;União das freguesias de Campelo e Ovil;115,88;-6,40
Freguesia;130224;União das freguesias de Loivos da Ribeira e Tresouras;97,63;-17,94
Freguesia;130225;União das freguesias de Santa Cruz do Douro e São Tomé de Covelas;102,67;-20,67
Freguesia;130226;União das freguesias de Teixeira e Teixeiró;27,49;-23,57
Freguesia;130219;Valadares;73,82;-13,15
Freguesia;130220;Viariz;63,56;-23,85
Município;0106;Castelo de Paiva;135,53;-6,85
Freguesia;010602;Fornos;310,71;-11,26
Freguesia;010606;Real;36,06;-8,15
Freguesia;010607;Santa Maria de Sardoura;226,04;-10,40
Freguesia;010608;São Martinho de Sardoura;429,00;-4,25
Freguesia;010610;União das freguesias de Raiva, Pedorido e Paraíso;85,23;-10,35
Freguesia;010611;União das freguesias de Sobrado e Bairros;340,74;-0,97
Município;0305;Celorico de Basto;97,43;-12,22
