Índice;;;Figura 11, 12, 13 e 14;Figura 17;Figura 18 ;Figura 20;Figura 28;Figura 29;Figura 30;Figura 31
Nível territorial;Código territorial;Designação;Habitantes por alojamento familiar clássico (N.º);Taxa de atração de população residente proveniente do estrangeiro (%);Taxa de atração de população residente proveniente de outro município (%);Taxa migratória interna (%);Proporção de população residente empregada que utiliza automóvel nos movimentos casa-trabalho (%);Duração média dos movimentos casa-trabalho da população empregada (min);Duração média dos movimentos casa-trabalho da população empregada que utiliza o transporte automóvel (min);Duração média dos movimentos casa-trabalho da população empregada que utiliza o transporte coletivo (min)
Município;1305;Lousada;2,36;0,8;6,1;0,7;76,8;15,9;7,8;36,9
Município;1307;Marco de Canaveses;1,98;1,1;5,6;0,3;73,7;19,9;10,3;54,8
Município;1309;Paços de Ferreira;2,49;0,6;5,4;0,3;78,1;13,3;7,1;31,0
Município;1311;Penafiel;2,19;0,9;6,0;0,3;74,1;21,0;9,7;48,1
Município;1813;Resende;1,30;0,9;7,4;0,2;72,0;22,3;13,7;63,2
NUTS 3;11D;Douro;1,31;1,3;6,7;0,2;74,6;15,0;8,0;33,0
Município;1701;Alijó;1,21;1,2;8,0;0,4;70,2;14,5;7,9;31,3
Município;1801;Armamar;1,17;1,5;9,4;1,4;70,8;13,3;8,5;25,0
Município;0403;Carrazeda de Ansiães;1,03;1,6;6,8;-0,3;71,0;13,5;8,1;35,7
Município;0404;Freixo de Espada à Cinta;1,00;1,0;7,9;0,3;57,2;11,0;8,5;22,8
Município;1805;Lamego;1,46;0,9;6,0;0,1;74,8;16,9;9,1;40,6
Município;1704;Mesão Frio;1,49;1,2;8,4;-0,1;66,3;17,9;10,9;57,2
Município;1807;Moimenta da Beira;1,19;2,4;7,8;0,6;77,7;12,8;7,3;31,1
Município;1707;Murça;1,24;1,5;7,7;0,1;74,2;14,1;8,0;36,5
Município;1812;Penedono;0,98;1,6;8,3;1,5;70,5;13,5;8,6;25,0
Município;1708;Peso da Régua;1,55;0,7;6,1;-0,5;69,8;16,0;8,5;34,0
Município;1710;Sabrosa;1,15;1,4;9,6;1,3;73,5;15,8;7,2;28,4
Município;1711;Santa Marta de Penaguião;1,31;1,1;8,2;0,0;72,4;15,8;7,6;32,4
Município;1815;São João da Pesqueira;1,20;1,1;7,8;0,3;65,8;13,9;8,1;24,9
Município;1818;Sernancelhe;1,23;1,9;8,1;1,5;72,8;13,0;7,5;25,0
Município;1819;Tabuaço;1,16;1,8;8,5;1,5;64,3;15,2;8,7;27,3
Município;1820;Tarouca;1,18;1,8;6,9;0,5;75,6;15,3;8,6;41,8
Município;0409;Torre de Moncorvo;0,93;1,2;7,3;-0,1;71,9;14,4;8,1;30,6
Município;0914;Vila Nova de Foz Côa;0,97;2,9;6,7;0,2;69,0;13,0;7,4;23,0
Município;1714;Vila Real;1,61;1,2;4,7;-0,2;81,3;15,1;7,5;33,0
NUTS 3;11E;Terras de Trás-os-Montes;1,23;1,4;6,0;0,1;74,8;12,7;7,4;29,6
Município;0401;Alfândega da Fé;1,12;1,1;5,7;-0,4;72,3;12,8;7,2;28,0
Município;0402;Bragança;1,35;1,7;4,9;-0,2;80,9;12,4;7,4;33,3
Município;0405;Macedo de Cavaleiros;1,21;1,5;6,0;0,2;70,6;13,2;7,1;31,6
Município;0406;Miranda do Douro;1,13;1,3;7,2;0,2;71,3;12,1;7,7;26,3
Município;0407;Mirandela;1,39;1,1;5,9;0,1;74,3;12,5;6,8;33,3
Município;0408;Mogadouro;1,13;0,8;6,7;0,5;71,2;12,9;8,2;27,5
Município;0410;Vila Flor;1,14;1,5;7,7;0,7;71,1;13,0;7,8;21,3
Município;0411;Vimioso;0,87;2,0;8,3;0,1;60,6;12,8;7,3;26,6
Município;0412;Vinhais;1,08;1,4;6,9;0,1;68,7;14,5;7,9;27,3
NUTS 2;16;Centro;1,51;1,4;6,9;0,5;81,2;16,5;7,3;42,2
NUTS 3;16B;Oeste;1,59;1,4;7,8;1,4;78,5;18,6;8,0;50,6
Município;1001;Alcobaça;1,55;1,3;7,0;1,2;83,3;15,3;7,0;36,9
Município;1101;Alenquer;1,88;1,2;8,3;1,8;77,7;22,7;8,5;50,6
Município;1102;Arruda dos Vinhos;2,09;1,0;8,7;1,7;82,2;24,5;6,3;57,4
Município;1005;Bombarral;1,58;1,7;9,2;2,9;74,2;17,4;7,5;59,1
Município;1104;Cadaval;1,52;1,3;11,3;2,8;79,3;19,4;8,9;54,2
Município;1006;Caldas da Rainha;1,61;1,8;7,1;0,5;77,7;16,3;8,4;55,5
Município;1108;Lourinhã;1,48;1,7;8,5;1,8;78,3;18,9;8,3;54,0
Município;1011;Nazaré;1,08;1,6;7,7;-0,2;75,4;14,7;7,3;35,2
Município;1012;Óbidos;1,29;2,1;11,0;2,2;84,4;17,2;7,0;61,0
Município;1014;Peniche;1,23;1,4;6,3;0,1;72,8;14,9;9,0;50,4
Município;1112;Sobral de Monte Agraço;1,93;0,8;11,7;2,5;80,4;23,1;7,0;49,3
Município;1113;Torres Vedras;1,79;1,3;6,9;1,7;77,3;20,2;8,4;49,0
NUTS 3;16D;Região de Aveiro;1,87;1,3;7,3;0,3;81,7;15,4;6,6;43,5
Município;0101;Águeda;2,00;1,2;6,6;0,1;85,6;13,6;6,4;41,4
Município;0102;Albergaria-a-Velha;1,98;1,0;8,0;0,5;85,7;15,1;5,8;35,0
Município;0103;Anadia;1,84;1,3;8,4;0,9;83,4;15,3;6,4;42,2
Município;0105;Aveiro;1,92;1,4;6,3;-0,8;78,0;15,2;7,5;44,1
Município;0108;Estarreja;2,02;1,0;7,6;0,5;79,2;16,1;6,5;41,4
Município;0110;Ílhavo;1,74;1,4;7,6;1,1;81,8;14,9;6,6;49,2
Município;0112;Murtosa;1,34;1,8;10,0;0,6;74,6;16,9;6,1;56,0
Município;0114;Oliveira do Bairro;2,02;1,6;8,1;0,5;85,9;15,4;6,1;42,0
Município;0115;Ovar;1,92;1,1;6,1;0,5;79,4;16,5;7,0;43,6
