Índice;;;Figura 11, 12, 13 e 14;Figura 17;Figura 18 ;Figura 20;Figura 28;Figura 29;Figura 30;Figura 31
Nível territorial;Código territorial;Designação;Habitantes por alojamento familiar clássico (N.º);Taxa de atração de população residente proveniente do estrangeiro (%);Taxa de atração de população residente proveniente de outro município (%);Taxa migratória interna (%);Proporção de população residente empregada que utiliza automóvel nos movimentos casa-trabalho (%);Duração média dos movimentos casa-trabalho da população empregada (min);Duração média dos movimentos casa-trabalho da população empregada que utiliza o transporte automóvel (min);Duração média dos movimentos casa-trabalho da população empregada que utiliza o transporte coletivo (min)
Município;1213;Ponte de Sor;1,45;0,6;6,2;0,8;73,2;15,5;8,7;42,8
Município;1214;Portalegre;1,53;0,3;5,4;-0,1;82,9;13,5;7,5;23,6
Município;1215;Sousel;1,19;0,4;10,2;2,1;73,1;13,5;7,4;26,3
NUTS 3;187;Alentejo Central;1,54;0,6;6,7;0,4;75,3;15,9;8,1;34,0
Município;0701;Alandroal;1,13;0,6;6,6;0,8;71,8;19,3;9,9;36,0
Município;0702;Arraiolos;1,39;0,6;10,4;1,2;72,1;17,3;6,3;25,8
Município;0703;Borba;1,53;0,4;6,7;0,5;72,0;14,5;8,2;26,1
Município;0704;Estremoz;1,35;0,4;7,4;0,6;76,8;15,0;7,3;29,9
Município;0705;Évora;1,80;0,7;4,9;-0,5;79,8;14,6;7,7;31,8
Município;0706;Montemor-o-Novo;1,52;0,6;7,1;1,3;74,8;16,8;8,0;41,1
Município;0707;Mora;1,08;0,4;9,5;1,3;66,2;15,7;9,5;38,8
Município;0708;Mourão;1,23;1,3;9,0;0,4;58,6;12,8;8,1;24,0
Município;0709;Portel;1,35;1,1;8,8;1,3;64,1;19,2;10,0;38,1
Município;0710;Redondo;1,38;0,5;7,2;0,3;68,6;18,2;7,9;30,3
Município;0711;Reguengos de Monsaraz;1,50;0,6;6,2;0,4;71,8;16,8;9,0;30,2
Município;0712;Vendas Novas;1,75;0,8;6,8;1,1;77,1;18,2;10,2;53,8
Município;0713;Viana do Alentejo;1,48;0,5;10,8;1,9;73,1;18,3;7,7;38,1
Município;0714;Vila Viçosa;1,53;0,6;7,7;0,4;72,1;14,3;8,0;25,3
NUTS 2;15;Algarve;1,19;2,3;7,1;-0,1;73,1;14,5;6,6;29,5
NUTS 3;150;Algarve;1,19;2,3;7,1;-0,1;73,1;14,5;6,6;29,5
Município;0801;Albufeira;0,98;2,6;6,9;-1,9;78,4;14,1;6,6;31,7
Município;0802;Alcoutim;0,70;1,7;6,8;1,4;59,5;17,3;12,6;30,6
Município;0803;Aljezur;1,02;4,6;10,2;1,1;69,5;13,5;6,5;23,8
Município;0804;Castro Marim;0,76;1,5;10,9;1,0;76,0;14,6;7,3;27,5
Município;0805;Faro;1,75;1,6;6,4;-0,8;67,8;13,7;6,8;29,1
Município;0806;Lagoa;1,12;2,5;8,0;0,6;77,9;13,8;6,7;26,5
Município;0807;Lagos;1,20;3,8;6,9;0,2;70,6;12,5;7,2;27,5
Município;0808;Loulé;1,08;2,2;6,4;-0,1;75,1;14,6;5,9;25,7
Município;0809;Monchique;1,17;2,3;10,0;1,2;72,3;17,8;7,6;35,2
Município;0810;Olhão;1,66;1,7;6,8;0,5;72,4;16,0;6,5;33,2
Município;0811;Portimão;1,21;2,2;6,6;-0,3;75,6;13,8;7,2;31,1
Município;0812;São Brás de Alportel;1,64;1,8;8,3;1,3;81,1;16,7;4,7;32,9
Município;0813;Silves;1,13;2,2;8,6;0,9;76,6;16,6;5,7;28,8
Município;0814;Tavira;1,07;3,1;7,0;0,2;71,1;14,9;6,8;28,1
Município;0815;Vila do Bispo;0,96;4,3;5,6;0,6;65,7;12,9;6,9;21,9
Município;0816;Vila Real de Santo António;0,91;1,5;8,5;0,1;61,8;13,3;7,3;39,4
NUTS 1;2;Região Autónoma dos Açores;2,09;0,6;6,4;0,3;78,5;13,2;6,6;25,3
NUTS 2;20;Região Autónoma dos Açores;2,09;0,6;6,4;0,3;78,5;13,2;6,6;25,3
NUTS 3;200;Região Autónoma dos Açores;2,09;0,6;6,4;0,3;78,5;13,2;6,6;25,3
Município;4301;Angra do Heroísmo;2,17;0,5;6,0;0,2;81,2;13,0;5,9;24,5
Município;4501;Calheta;1,42;0,7;10,0;1,0;82,4;12,3;7,0;26,0
Município;4901;Corvo;1,88;1,3;10,4;3,4;40,5;8,7;6,6;//
Município;4701;Horta;1,94;0,6;7,5;0,7;80,7;11,0;6,6;24,6
Município;4201;Lagoa;2,67;0,5;6,4;0,7;77,5;13,0;6,8;23,1
Município;4801;Lajes das Flores;1,37;1,0;5,2;0,1;70,9;11,8;5,8;20,8
Município;4601;Lajes do Pico;1,34;0,5;8,1;0,7;81,2;15,8;6,5;33,3
Município;4602;Madalena;1,75;0,7;7,9;1,5;83,8;12,0;6,9;27,3
Município;4202;Nordeste;1,67;0,6;9,7;0,5;65,1;14,4;9,1;23,3
Município;4203;Ponta Delgada;2,31;0,5;5,3;0,0;79,7;13,4;6,8;25,9
Município;4204;Povoação;1,62;1,0;7,6;-0,1;61,9;12,7;8,1;23,4
Município;4205;Ribeira Grande;2,67;0,5;5,9;0,0;72,7;14,7;6,6;25,4
Município;4401;Santa Cruz da Graciosa;1,42;0,8;8,5;0,2;81,1;9,1;6,8;15,2
Município;4802;Santa Cruz das Flores;1,71;0,5;9,7;0,8;75,7;10,5;7,2;21,8
Município;4603;São Roque do Pico;1,40;1,1;9,8;0,5;80,2;12,5;6,3;19,0
Município;4502;Velas;1,51;1,0;7,2;-0,3;76,9;11,9;6,3;27,6
Município;4302;Vila da Praia da Vitória;2,00;0,4;7,2;0,5;85,8;13,8;5,7;23,8
Município;4101;Vila do Porto;1,48;0,7;7,1;1,0;82,8;10,0;6,7;18,3
Município;4206;Vila Franca do Campo;2,42;0,9;5,8;-0,1;68,5;17,0;8,5;30,4
NUTS 1;3;Região Autónoma da Madeira;1,91;1,5;6,1;0,1;71,0;16,6;9,6;33,0
NUTS 2;30;Região Autónoma da Madeira;1,91;1,5;6,1;0,1;71,0;16,6;9,6;33,0
NUTS 3;300;Região Autónoma da Madeira;1,91;1,5;6,1;0,1;71,0;16,6;9,6;33,0
Município;3101;Calheta;1,43;2,9;7,9;0,3;73,5;15,6;7,9;33,1
Município;3102;Câmara de Lobos;2,34;1,4;6,0;-0,3;65,2;19,8;13,7;38,0
Município;3103;Funchal;2,03;1,3;4,9;0,2;67,1;15,0;10,9;30,2
Município;3104;Machico;1,97;1,1;7,7;0,2;69,5;18,0;9,4;36,0
Município;3105;Ponta do Sol;1,71;2,3;6,6;-0,2;74,9;16,1;6,7;30,2
Município;3106;Porto Moniz;1,24;2,9;10,1;-0,8;68,3;14,5;8,6;29,9
Município;3201;Porto Santo;1,13;1,7;8,3;0,8;74,3;8,5;7,2;19,2
Município;3107;Ribeira Brava;1,82;2,0;7,2;-0,3;74,2;18,8;7,7;38,0
Município;3108;Santa Cruz;2,07;1,2;6,7;0,5;80,6;18,4;7,1;34,6
Município;3109;Santana;1,34;1,3;8,7;-0,7;78,0;17,8;6,7;43,5
Município;3110;São Vicente;1,29;2,7;7,8;0,3;77,0;14,8;6,8;25,1
